1:1	nqla				Qui a appelé Paul et qu'a-t-il été appelé à être ?	Jésus-Christ a appelé Paul à être un apôtre.
10:6	uqfr				Pourquoi Dieu n'a-t-il pas été satisfait de leurs pères au temps de Moïse ?	Il n'était pas content parce que leurs pères désiraient des choses mauvaises.

10:9-10	bjcw				Par quel moyen Dieu a-t-il détruit le peuple désobéissant et râleur ?	Dieu les a détruits par des serpents et le destructeur, l'ange de la mort.

10:11	nxg7				Pourquoi les choses se sont-elles produites et pourquoi ont-elles été écrites ?	Ils se sont produits comme des exemples pour nous et ils ont été mis par écrit pour notre instruction.

10:13	md71				Une tentation unique nous est-elle arrivée ?	Il n'y a pas de tentation qui ne soit pas commune à toute l'humanité.

10:13	pcrh				Qu'est-ce que Dieu a fait pour nous permettre de supporter la tentation ?	Il a prévu le moyen de s'échapper pour que nous puissions supporter la tentation.

10:14	nt41				De quoi Paul avertit-il les croyants corinthiens de s'enfuir ?	Il les avertit de fuir l'idolâtrie.

10:16	t64w				Quelle est la coupe de bénédiction que les croyants bénissent, et quel est le pain qu'ils rompent ?	La coupe est une participation au sang du Christ. Le pain est une participation au corps du Christ.

10:20	m2tj				A qui les païens offrent-ils leurs sacrifices ?	Ils offrent ces choses aux démons et non à Dieu.

10:20-21	mayf				Puisque Paul ne voulait pas que les croyants de Corinthe soient des participants avec des démons, que leur dit-il qu'ils ne peuvent pas faire ?	Paul leur dit qu'ils ne peuvent pas boire la coupe du Seigneur et la coupe des démons, et qu'ils ne peuvent pas être en communion à la table du Seigneur et à la table des démons.

10:22	nqyj				Que risquons-nous si, en tant que croyants du Seigneur, nous participons aussi avec les démons ?	Nous risquons de provoquer la jalousie du Seigneur.

10:24	uzgi				Devons-nous chercher notre propre bien ?	Non. Au contraire, chacun doit chercher le bien de son prochain.

10:27	g0lx				Si un non-croyant vous invite à prendre un repas et que vous souhaitez y aller, que devez-vous faire ?	Vous devez manger tout ce qui vous est proposé sans vous poser de questions de conscience.

10:28-29	jgng				Si votre hôte incroyant vous dit que la nourriture que vous êtes sur le point de manger provient d'un sacrifice païen, pourquoi ne devriez-vous pas la manger ?	Vous ne devriez pas le manger, par égard pour la personne qui vous a informé et par égard pour la conscience de l'autre personne.

10:31	eyhg				Que devons-nous faire pour la gloire de Dieu ?	Nous devons faire toutes choses, y compris manger et boire, pour la gloire de Dieu.

10:32-33	anma				Pourquoi ne devrions-nous pas offenser les Juifs, les Grecs ou l'Église de Dieu ?	Nous ne devons pas les offenser afin qu'ils soient sauvés.

11:1	zv18				Qui Paul a-t-il dit aux croyants de Corinthe d'imiter ?	Paul leur a dit de s'imiter.

11:1	hxu8				Qui Paul a-t-il imité ?	Paul était un imitateur du Christ.

11:2	noh3				De quoi Paul a-t-il loué les croyants de Corinthe ?	Paul les a félicités de se souvenir de lui en toutes choses et de s'en tenir aux traditions telles qu'il les a transmises aux Corinthiens.

11:3	fbzu				Qui est la tête du Christ ?	Dieu est la tête du Christ.

11:3	p9ff				Qui est le chef de l'homme ?	Le Christ est la tête de chaque homme.

11:3	mn02				Qui est le chef de la femme ?	L'homme est le chef de la femme.

11:4	aetp				Que se passe-t-il quand un homme prie la tête couverte ?	Il déshonore sa tête s'il prie la tête couverte.

11:5	mrpi				Que se passe-t-il lorsqu'une femme prie la tête découverte ?	Toute femme qui prie la tête découverte déshonore sa tête.

11:7	bgmr				Pourquoi un homme ne devrait-il pas avoir la tête couverte ?	Il ne doit pas avoir la tête couverte car il est l'image et la gloire de Dieu.

11:9	ratf				Pour qui la femme a-t-elle été créée ?	La femme a été créée pour l'homme.

11:11-12	i00n				Pourquoi la femme et l'homme sont-ils dépendants l'un de l'autre ?	La femme vient de l'homme, et l'homme vient de la femme.

11:13	i31f				Quelle était la pratique de Paul, de ses associés et des églises de Dieu concernant la prière des femmes ?	Les femmes avaient l'habitude de prier la tête couverte.

11:19	ifwp				Pourquoi doit-il y avoir des factions parmi les chrétiens de Corinthe ?	Il doit y avoir des factions parmi eux afin que ceux qui sont approuvés puissent être reconnus parmi eux.

11:21	excy				Ce qui se passait quand l'église de Corinthe se réunissait pour manger.	Quand ils mangeaient, chacun mangeait sa propre nourriture avant que les autres aient leur repas. L'un avait faim, l'autre s'enivrait.

11:23-24	q76g				La nuit où il a été trahi, qu'a dit le Seigneur après avoir rompu le pain ?	Il a dit : "Ceci est mon corps, qui est pour vous ; faites ceci en mémoire de moi."

11:25	vtpv				Qu'a dit le Seigneur lorsqu'il a pris la coupe après le repas ?	Il a dit : "Cette coupe est la nouvelle alliance en mon sang. Faites ceci chaque fois que vous en boirez, en mémoire de moi."

11:26	iy64				Que faites-vous chaque fois que vous mangez ce pain et buvez cette coupe ?	Vous proclamez la mort du Seigneur jusqu'à ce qu'il vienne.

11:27	fw4u				Pourquoi une personne ne devrait-elle pas manger le pain ou boire la coupe du Seigneur d'une manière indigne ?	En agissant ainsi, vous vous rendez coupable du corps et du sang du Seigneur.

11:29	alql				Qu'arrive-t-il à la personne qui mange le pain ou boit la coupe sans discernement ?	En agissant ainsi, cette personne mange et boit selon son propre jugement.

11:30	puxg				Qu'est-il arrivé à plusieurs membres de l'église de Corinthe qui ont mangé le pain et bu la coupe du Seigneur de manière indigne ?	Beaucoup d'entre eux sont tombés malades, et certains sont morts.

11:33	z77y				Que dit Paul aux croyants de Corinthe lorsqu'ils se réunissent pour manger ?	Il leur dit d'attendre l'un l'autre.

12:1	u620				Sur quoi Paul veut-il que les chrétiens de Corinthe soient informés ?	Paul veut qu'ils soient informés des dons spirituels.

12:3	q4ki				Qu'est-ce que celui qui parle par l'Esprit de Dieu n'est pas capable de dire ?	Il ne peut pas dire : "Jésus est maudit."

12:3	d393				Comment peut-on dire : "Jésus est Seigneur" ?	On ne peut dire "Jésus est Seigneur" que par le Saint-Esprit.

12:4-6	fi5g				Qu'est-ce que Dieu rend possible dans chaque croyant ?	Il rend possible dans chaque croyant différents dons, différents ministères et différents types de travail.

12:7	zgje				Pourquoi la manifestation extérieure de l'Esprit est-elle donnée ?	Elle est donnée pour le bénéfice de tous.

12:9-10	y5e4				Quels sont certains des dons donnés par l'Esprit ?	Certains de ces dons sont la foi, les dons de guérison, les actes de puissance, la prophétie, la capacité de distinguer les esprits, les différentes sortes de langues et l'interprétation des langues.

12:11	eycz				Qui choisit les cadeaux que chacun reçoit ?	L'Esprit donne les dons à chacun individuellement, comme il l'entend.

12:13	b5s6				Dans quoi tous les chrétiens ont-ils été baptisés ?	Nous avons tous été baptisés en un seul corps et tous ont été abreuvés d'un seul Esprit.

12:18	z3pe				Qui a arrangé et conçu chaque partie du corps ?	Dieu a disposé chaque partie du corps comme il l'a conçu.

12:22	bs9c				Pouvons-nous nous passer des membres du corps qui semblent moins honorables ?	Non. Les membres du corps qui semblent moins honorables sont essentiels.

12:24	gplm				Qu'est-ce que Dieu a fait pour les membres du corps, y compris ceux qui sont moins honorables ?	Dieu a réuni tous les membres, et il a donné plus d'honneur à ceux qui en manquaient.

12:25	wadc				Pourquoi Dieu a-t-il donné plus d'honneur aux membres du corps qui en manquaient ?	Il a fait cela afin qu'il n'y ait pas de division au sein du corps, mais que les membres aient soin les uns des autres avec la même affection.

12:28	s9wt				Qui Dieu a-t-il nommé dans l'église ?	Dans l'église, Dieu a désigné premièrement des apôtres, deuxièmement des prophètes, troisièmement des enseignants, ceux qui font des actes de puissance, des dons de guérison, ceux qui fournissent des aides, des administrateurs, et ceux qui parlent diverses sortes de langues.

12:31	ii2i				Qu'est-ce que Paul dit aux chrétiens de Corinthe de rechercher ?	Il leur dit de rechercher les dons les plus importants.

12:31	cs7e				Qu'est-ce que Paul dit qu'il va montrer aux chrétiens de Corinthe ?	Il dit qu'il leur montrera une voie plus excellente.

13:1	az4d				Que deviendrait Paul s'il parlait les langues des hommes et des anges mais n'avait pas l'amour ?	Il deviendrait un gong bruyant ou une cymbale retentissante.

13:2	tp14				Que serait Paul s'il avait le don de prophétie, s'il comprenait toutes les vérités et connaissances cachées, s'il avait une grande foi, mais s'il n'avait pas l'amour ?	Sans amour, il ne serait rien.

13:3	swse				Comment Paul a-t-il pu donner tout ce qu'il possédait pour nourrir les pauvres et donner son corps pour être brûlé et ne rien gagner ?	S'il n'avait pas d'amour, il ne gagnerait rien, même s'il faisait toutes ces autres choses.

13:5-7	mowc				Quelles sont certaines des caractéristiques de l'amour ?	L'amour est patient et gentil ; il n'est pas envieux ni vantard ; il n'est pas arrogant ni grossier. Il n'est pas égoïste, il ne se met pas facilement en colère, et il ne compte pas ses torts. Il ne se réjouit pas de l'injustice, mais se réjouit de la vérité. Elle supporte tout, elle croit tout, elle a confiance en tout et elle endure tout.

13:8	necq				Qu'est-ce qui n'échouera jamais ?	L'amour n'échoue jamais.

13:8-10	z4gn				Quelles sont les choses qui vont passer ou cesser ?	Les prophéties, la connaissance et ce qui est incomplet passeront et les langues cesseront.

13:11	zyxy				Qu'est-ce que Paul dit avoir fait quand il est devenu adulte ?	Paul a dit que lorsqu'il est devenu adulte, il s'est débarrassé des choses enfantines.

13:13	vpuk				Quelles sont les trois choses qui resteront, et laquelle des trois est la plus grande ?	La foi, l'espoir et l'amour resteront. Le plus grand de ces éléments est l'amour.

14:1	n48f				Pour quel don spirituel Paul a-t-il dit que nous devions être particulièrement zélés ?	Paul a dit que nous devrions être particulièrement zélés pour prophétiser.

14:2	yjaj				A qui parle-t-on lorsqu'on s'exprime en langue ?	Il ne s'adresse pas aux gens mais à Dieu.

14:3-4	xy14				Qui est édifié par celui qui prophétise, et qui est édifié par celui qui parle en langues ?	Celui qui prophétise édifie le peuple, mais celui qui parle en langues s'édifie lui-même.

14:7-9	o69v				A quoi Paul compare-t-il le discours que l'on ne peut pas comprendre ?	Il le compare à des instruments comme la flûte ou la harpe s'ils ne produisent pas de sons distinctifs, et aussi à une trompette jouée avec un son incertain.

14:12	ocz0				Qu'est-ce que Paul dit que les croyants de Corinthe devraient être zélés à faire ?	Il dit qu'ils doivent être zélés pour abonder en dons pour l'édification de l'église.

14:13	a2ud				En effet, que doit prier celui qui parle en langue ?	Il doit prier pour pouvoir interpréter.

14:14	dcf5				Selon Paul, que faisaient son esprit et sa pensée lorsqu'il priait en langue ?	Paul a dit que s'il priait dans une langue, son esprit priait, mais son esprit était infructueux.

14:15	yjl4				Comment Paul a-t-il dit qu'il allait prier et chanter ?	Paul a dit qu'il allait prier et chanter non seulement avec son esprit mais aussi avec sa pensée.

14:19	rcna				Qu'est-ce que Paul a dit qu'il préférait faire plutôt que de prononcer 10.000 mots dans une langue ?	Paul a dit qu'il préférait dire cinq mots avec son intelligence afin d'instruire les autres.

14:22	x6ax				Pour qui les langues et la prophétie sont-elles un signe ?	Les langues sont un signe pour les non-croyants, et la prophétie est un signe pour les croyants.

14:23	lzt8				Que diraient probablement les étrangers et les incroyants s'ils entraient dans l'église et que tous parlaient en langues ?	Ils diraient probablement que les croyants sont fous.

14:24	tua2				Selon Paul, que se passerait-il si tous les membres de l'église prophétisaient et qu'un incroyant ou un étranger entrait ?	Paul dit que l'incroyant ou l'étranger sera convaincu et examiné par tout ce qu'il a entendu.

14:25	z85j				Que ferait l'incroyant ou l'étranger si ceux qui prophétisent révélaient les secrets de son cœur ?	Il tombait sur sa face, adorait Dieu, et déclarait que Dieu était vraiment parmi eux.

14:27-28	y7pr				Quelle est l'instruction de Paul pour ceux qui parlent en langues lorsque les croyants se réunissent ?	Il dit que seuls deux ou trois au maximum devraient parler, chacun à son tour. S'il n'y a personne pour interpréter la langue, que chacun d'eux se taise dans l'église.

14:29-30	yqkw				Quelle est l'instruction de Paul aux prophètes lorsque l'église se réunit ?	Paul dit de laisser deux ou trois prophètes parler pendant que les autres personnes écoutent avec discernement ce qui est dit. Si un autre prophète a une idée, celui qui parle doit se taire.

14:34	p570				Où Paul dit-il que les femmes ne sont pas autorisées à parler ?	Paul dit que les femmes n'ont pas le droit de parler dans les églises.

14:35	lyhw				Qu'est-ce que Paul a dit que les femmes devaient faire si elles voulaient apprendre quelque chose ?	Paul leur a dit de demander à leurs maris à la maison.

14:35	r5ke				Comment les gens voyaient-ils une femme parler dans l'église ?	C'était considéré comme une honte.

14:37	smw2				Qu'est-ce que Paul a dit qui devrait être reconnu par ceux qui se prennent pour des prophètes ou des spirituels ?	Paul a dit qu'ils devaient reconnaître que les choses qu'il a écrites aux croyants de Corinthe étaient un commandement du Seigneur.

14:40	m5ko				Comment tout doit être fait dans l'Église ?	Toutes les choses doivent être faites correctement et en ordre.

15:1	nwpg				A propos de quoi Paul a-t-il rappelé les frères et sœurs ?	Il leur a rappelé l'évangile qu'il leur avait annoncé.

15:2	nos9				Quelle condition devait être remplie pour que les Corinthiens soient sauvés par l'évangile que Paul leur a prêché ?	Paul leur a dit qu'ils seraient sauvés s'ils s'en tenaient fermement à la parole qu'il leur prêchait.

15:3-5	rvez				Quelles étaient les parties de l'évangile qui étaient de première importance ?	Les parties qui étaient de première importance étaient que le Christ est mort pour nos péchés selon les Écritures, qu'il a été enseveli et qu'il est ressuscité le troisième jour selon les Écritures.

15:6-8	wxl4				A qui le Christ est-il apparu après sa résurrection des morts ?	Après sa résurrection des morts, le Christ est apparu à Céphas, aux Douze, à plus de 500 frères et sœurs à la fois, à Jacques, à tous les apôtres et à Paul.

15:9	i6jj				Pourquoi Paul a-t-il dit qu'il était le plus petit des apôtres ?	Il a dit cela parce qu'il a persécuté l'église de Dieu.

15:12	g8sc				Qu'est-ce que Paul a laissé entendre que certains des croyants corinthiens disaient de la résurrection ?	Il a laissé entendre que certains d'entre eux disaient qu'il n'y avait pas de résurrection des morts.

15:13-14	twex				S'il n'y a pas de résurrection des morts, qu'est-ce que Paul dit qui doit aussi être vrai ?	Paul dit que s'il n'y a pas de résurrection, alors même le Christ n'est pas ressuscité des morts, et la prédication de Paul et d'autres comme lui est vaine, et la foi des Corinthiens est également vaine.

15:18	ke16				Si le Christ n'est pas ressuscité, qu'est-il arrivé à ceux qui sont morts en Christ ?	Ils ont péri.

15:19	qq81				Que dit Paul si, dans cette vie seulement, nous avons confiance en l'avenir en Christ ?	Si c'est le cas, Pauls dit que de tous les peuples, nous sommes les plus à plaindre.

15:20	jptb				Comment Paul appelle-t-il le Christ ?	Il appelle le Christ "les prémices de ceux qui sont morts".

15:22	z63e				Qui est l'homme par qui la mort est venue dans le monde, et qui est l'homme par qui tous seront rendus vivants ?	Adam a apporté la mort dans le monde, et par le Christ, tous seront rendus vivants.

15:23	y1ns				Quand ceux qui appartiennent au Christ seront-ils rendus à la vie ?	Cela se produira lorsque le Christ viendra.

15:24	e4zx				Que se passera-t-il à la fin ?	Le Christ remettra le royaume à Dieu le Père, lorsqu'il aura aboli toute règle, toute autorité et tout pouvoir.

15:25	keqk				Combien de temps le Christ doit-il régner ?	Il doit régner jusqu'à ce qu'il ait mis tous ses ennemis sous ses pieds.

15:26	mxlv				Quel est le dernier ennemi à être détruit ?	La mort est le dernier ennemi à détruire.

15:27	n3jj				Qui n'est pas inclus quand il est dit, "il a tout mis sous ses pieds".	Dieu, celui qui a tout soumis au Fils (lui-même) n'est pas inclus comme étant soumis (au Fils).

15:28	h5ep				Que fera le Fils pour que Dieu le Père soit tout en tous ?	Le Fils lui-même sera soumis à celui qui lui a tout soumis.

15:32	z3r6				Qu'est-ce que Paul a déclaré qu'ils pourraient aussi bien faire si les morts ne ressuscitent pas ?	Paul a déclaré : "Mangeons et buvons, car demain nous mourrons."

15:34	qket				Qu'est-ce que Paul ordonne aux Corinthiens de faire ?	Il leur ordonne d'être sobres, de vivre dans la droiture et de ne pas continuer à pécher.

15:34	mgv6				Que dit Paul à la honte des Corinthiens ?	Il a dit que certains d'entre eux n'ont aucune connaissance de Dieu.

15:35-38	ryd0				A quoi Paul compare-t-il la résurrection des morts ?	Il la compare à une graine que l'on sème.

15:36	dfvx				Que doit-il arriver à une graine avant qu'elle ne commence à pousser ?	Il doit mourir.

15:37	hz38				La graine nue qui est semée ressemble-t-elle au corps (plante) qui naît de la graine ?	Non, ce que tu sèmes ne ressemble pas au corps qui sera.

15:39	zdxx				Toutes les chairs sont-elles les mêmes ?	Non. Toutes les chairs ne sont pas identiques. Les chairs des êtres humains, des animaux, des oiseaux et des poissons sont toutes différentes les unes des autres.

15:40	wu1v				Existe-t-il d'autres types de corps ?	Il existe également des corps célestes et des corps terrestres.

15:41	sf78				Le soleil, la lune et les étoiles partagent-ils tous la même gloire ?	Il y a une gloire du soleil, et une autre gloire de la lune, et une autre gloire des étoiles, et une étoile diffère d'une autre étoile en gloire.

15:42-44	w329				Comment nos corps périssables sont-ils semés ?	Ils sont semés dans la pourriture, le déshonneur et la faiblesse.

15:42-44	bexl				Quelle est notre condition lorsque nous sommes ressuscités des morts ?	Ce qui est ressuscité est un corps spirituel impérissable ; il est ressuscité dans la gloire et la puissance.

15:45	hxa1				Qu'est devenu le premier homme Adam ?	Il est devenu une âme vivante.

15:45	hztq				Qu'est devenu le dernier Adam ?	Il est devenu un esprit qui donne la vie.

15:47	mp68				D'où viennent le premier homme et le deuxième homme ?	Le premier homme est de la terre, fait de poussière. Le second homme vient du ciel.

15:49	w438				De qui avons-nous porté l'image et de qui porterons-nous l'image ?	De même que nous avons porté l'image de l'homme de la poussière, nous porterons aussi l'image de l'homme du ciel.

15:50	k3wt				Qu'est-ce qui ne peut hériter du royaume de Dieu ?	La chair et le sang ne peuvent hériter du royaume de Dieu.

15:51	isjg				Que va-t-il nous arriver à tous ?	Nous serons tous changés.

15:52	v1or				Quand et à quelle vitesse serons-nous changés ?	Lorsque la dernière trompette retentira, nous serons changés en un instant, en un clin d'œil,

15:54	er4n				Que se passera-t-il lorsque ce périssable aura revêtu l'impérissable et que ce mortel aura revêtu l'immortalité ?	La mort sera engloutie dans la victoire.

15:56	w1na				Quel est l'aiguillon de la mort et quelle est la puissance du péché ?	L'aiguillon de la mort est le péché et la puissance du péché est la loi.

15:57	y2zi				Par qui Dieu nous donne-t-il la victoire ?	Dieu nous donne la victoire par notre Seigneur Jésus-Christ !

15:58	qmkz				Quelle raison Paul donne-t-il pour dire aux frères et sœurs de Corinthe d'être fermes, inébranlables, et d'abonder toujours dans l'œuvre du Seigneur ?	Il leur dit de faire cela parce qu'ils savent que leur travail dans le Seigneur n'est pas vain.

16:1	xq9p				Qui Paul a-t-il dirigé de la même manière que l'église de Corinthe concernant la collecte pour les saints ?	Paul a dirigé les églises de Galatie de la même manière que l'église de Corinthe.

16:2	bw1f				Comment Paul a-t-il dit à l'église de Corinthe de faire leur collecte ?	Il leur dit que le premier jour de la semaine, chacun d'entre eux devait mettre quelque chose de côté et l'emmagasiner comme chacun le pouvait, afin qu'il n'y ait pas de collecte lorsque Paul viendrait.

16:3	v3nz				A qui allait l'offrande ?	Elle était destinée aux saints de Jérusalem.

16:5	mh6t				Quand Paul allait-il venir à l'église de Corinthe ?	Il a dit qu'il allait venir les voir quand il passerait par la Macédoine.

16:7	uje8				Pourquoi Paul ne voulait-il pas voir les saints de Corinthe immédiatement, pour une courte période ?	Paul voulait leur rendre visite pour plus qu'un court moment, si le Seigneur le permettait.

16:8-9	jqqc				Pourquoi Paul allait-il rester à Éphèse jusqu'à la Pentecôte ?	Paul est resté à Éphèse parce qu'une grande porte s'était ouverte pour lui, et il y avait beaucoup d'adversaires.

16:10	spyj				Que faisait Timothy ?	Il faisait le travail du Seigneur, tout comme Paul.

16:10-11	lt0q				Qu'est-ce que Paul a ordonné à l'église de Corinthe de faire concernant Timothée ?	Paul a dit à l'église de Corinthe de voir que Timothée était avec eux sans crainte. Paul leur a dit de ne pas mépriser Timothée et aussi d'aider Timothée à poursuivre son chemin en paix.

16:12	ac6t				Qu'est-ce que Paul a fortement encouragé Apollos à faire ?	Paul a fortement encouragé Apollos à rendre visite aux saints de Corinthe.

16:15	cj11				Qui, parmi les Corinthiens, s'était mis au service des saints ?	La maison de Stephanas s'est mise au service des saints.

16:16	umfu				Qu'est-ce que Paul a dit aux saints de Corinthe de faire concernant la maison de Stephanas ?	Paul leur a dit d'être soumis à de telles personnes.

16:17-18	enlc				Qu'ont fait Stephanas, Fortunatus et Achaicus pour Paul ?	Ils ont compensé l'absence des saints de Corinthe et ont rafraîchi l'esprit de Paul.

16:19-20	c8so				Qui a envoyé ses salutations à l'église de Corinthe ?	Les Églises d'Asie, Aquila et Priscille, et tous les frères et sœurs ont envoyé leurs salutations à l'Église de Corinthe.

16:22	ptjl				Que dit Paul à propos de ceux qui n'aiment pas le Seigneur ?	Paul a dit : "Si quelqu'un n'aime pas le Seigneur, que la malédiction soit sur lui."
