1:1	bpjr				A qui Luc a-t-il adressé ce livre ?	Luc a adressé ce livre à Théophile.

1:3	ve8f				Qu'a fait Jésus pendant quarante jours après sa souffrance ?	Jésus est apparu vivant à ses apôtres, disant des choses sur le royaume de Dieu.

1:4	qacc				Pour quoi Jésus a-t-il ordonné à ses apôtres d'attendre ?	Jésus a dit à ses apôtres d'attendre la promesse du Père.

1:5	zs4j				Avec quoi les apôtres seraient-ils baptisés en quelques jours ?	Les apôtres seront baptisés du Saint-Esprit.

1:7	b10x				Lorsque les apôtres ont voulu connaître le calendrier de la restauration du royaume, comment Jésus leur a-t-il répondu ?	Jésus leur a dit que ce n'était pas à eux de connaître le temps.

1:8	q5vv				Qu'est-ce que Jésus a dit aux apôtres qu'ils recevraient du Saint-Esprit ?	Jésus a dit que les apôtres recevraient une puissance.

1:8	noge				Où Jésus a-t-il dit que les apôtres seraient ses témoins ?	Jésus a dit que les apôtres seraient des témoins en Judée, en Samarie et jusqu'aux extrémités de la terre.

1:9	j1c1				Comment Jésus s'est-il éloigné de ses apôtres ?	Jésus fut élevé et une nuée le cacha à leurs yeux.

1:11	dlze				Comment les anges ont-ils dit que Jésus reviendrait sur la terre ?	Les anges ont dit que Jésus reviendrait de la même manière qu'il est allé au ciel.

1:14	j3r6				Que faisaient les apôtres, les femmes, Marie et les frères de Jésus dans la chambre haute ?	Ils priaient assidûment.

1:16	iizu				Qu'est-ce qui s'est accompli dans la vie de Judas, qui a trahi Jésus ?	L'Écriture avait été accomplie par Judas.

1:18	ethl				Qu'est-il arrivé à Judas après qu'il ait reçu l'argent pour avoir trahi Jésus ?	Judas a acheté un champ, est tombé la tête la première, son corps a éclaté et ses intestins se sont déversés.

1:20	quxi				Dans le livre des Psaumes, qu'est-il dit qu'il devrait arriver à la position de leader de Judas ?	Les Psaumes disaient que la position de leader de Judas devait être remplie par quelqu'un d'autre.

1:21-22	xj9p				Quelles étaient les exigences pour l'homme qui prendrait le poste de direction de Judas ?	L'homme qui prend ce poste doit avoir accompagné les apôtres depuis le baptême de Jean et avoir été témoin de la résurrection de Jésus.

1:24-26	s4zm				Comment les apôtres ont-ils déterminé lequel des deux candidats devait prendre la place de Judas ?	Les apôtres ont prié pour que Dieu révèle son choix, puis ils ont tiré au sort.

1:26	ks3s				Qui était alors au nombre des onze apôtres ?	Matthias fut alors compté parmi les onze apôtres.

2:1	bi7w				En quel jour de la fête juive tous les disciples étaient-ils réunis ?	Les disciples étaient réunis le jour de la Pentecôte.

2:4	zobx				Lorsque le Saint-Esprit est entré dans la maison, qu'ont commencé à faire les disciples ?	Les disciples ont commencé à parler d'autres langues.

2:5	ak49				A cette époque, à Jérusalem, d'où venaient les Juifs pieux ?	Les Juifs pieux étaient venus de toutes les nations sous le ciel.

2:6	n6b5				Pourquoi la multitude était-elle confuse lorsqu'elle entendait les disciples parler ?	La multitude était confuse car chacun les entendait parler dans sa propre langue.

2:11	oncl				De quoi les disciples parlaient-ils ?	Les disciples racontaient les œuvres puissantes de Dieu.

2:13-15	ojql				Que pensaient certains de ceux qui se moquaient des disciples ?	Certains se sont moqués et ont pensé qu'ils étaient pleins de vin nouveau.

2:16-20	p5qj				Qu'est-ce que Pierre a dit qui s'accomplissait à ce moment-là ?	Pierre a déclaré que la prophétie de Joël s'était accomplie et que Dieu allait répandre son Esprit sur toute chair.

2:21	khwx				Dans la prophétie de Joël, qui sont ceux qui seront sauvés ?	Ceux qui invoquent le nom du Seigneur seront sauvés.

2:22	cina				Comment le ministère de Jésus a-t-il été authentifié par Dieu ?	Le ministère de Jésus a été authentifié par les œuvres puissantes, les prodiges et les signes que Dieu a accomplis par son intermédiaire.

2:23	gr6w				Qui avait prévu que Jésus soit crucifié ?	Jésus a été crucifié selon le plan déterminé de Dieu.

2:25-27	a4m2				Dans l'Ancien Testament, qu'a prophétisé le roi David au sujet du Saint de Dieu ?	Le roi David a dit que Dieu ne permettrait pas à son Saint de voir la pourriture.

2:30	ni49				Quelle promesse Dieu avait-il faite au roi David concernant sa descendance ?	Dieu avait promis au roi David qu'un de ses descendants s'assiérait sur son trône.

2:31	qqli				Dans l'Ancien Testament, qu'a prophétisé le roi David au sujet du Saint de Dieu ?	Le roi David a dit que Dieu ne permettrait pas à son Saint de voir la pourriture.

2:32	hno7				Qui est le Saint de Dieu qui n'a pas vu la pourriture et qui s'assiéra sur le trône ?	Jésus était le Saint et le Roi prophétisé.

2:36	jegc				Pierre a prêché que Dieu avait maintenant donné à Jésus quels deux titres ?	Dieu avait fait de Jésus à la fois le Seigneur et le Christ.

2:37	xm2o				Lorsque la foule a entendu la prédication de Pierre, quelle a été sa réaction ?	La multitude a demandé ce qu'elle devait faire.

2:38	ql6u				Qu'est-ce que Pierre a dit à la foule de faire ?	Pierre a dit à la multitude de se repentir et d'être baptisée au nom de Jésus-Christ pour le pardon de leurs péchés.

2:39	iq1i				Pour qui, selon Pierre, la promesse de Dieu a-t-elle été faite ?	Pierre a dit que la promesse de Dieu était pour la multitude, leurs enfants, et tous ceux qui étaient loin.

2:41	pubz				Combien de personnes ont été baptisées ce jour-là ?	Environ trois mille personnes ont été baptisées.

2:42	tlei				Dans quoi les baptisés continuaient-ils à vivre ?	Ils continuaient l'enseignement des apôtres et la communion fraternelle, la fraction du pain et les prières.

2:44-45	n3ej				Que faisaient ceux qui croyaient pour aider ceux qui étaient dans le besoin ?	Ils vendirent leurs biens et leurs possessions et les distribuèrent à tous, selon les besoins de chacun.

2:46	mu6c				Où les croyants se réunissaient-ils à cette époque ?	Les croyants se réunissaient dans le Temple.

2:47	po4s				Qui s'ajoutait jour après jour au groupe des croyants ?	Le Seigneur ajoutait jour après jour ceux qui étaient sauvés.

3:2	dza4				Qui Pierre et Jean ont-ils vu en entrant dans le Temple ?	Pierre et Jean ont vu un homme boiteux de naissance qui mendiait à la porte du Temple.

3:6	caoy				Qu'est-ce que Pierre n'a pas donné à l'homme ?	Pierre n'a pas donné à l'homme de l'argent et de l'or.

3:7	efxt				Qu'a fait Pierre pour cet homme ?	Pierre a donné à l'homme la capacité de marcher.

3:8	b2rw				Comment l'homme a-t-il réagi à ce que Pierre lui a donné ?	L'homme est entré dans le Temple en marchant, en sautant et en louant Dieu.

3:10	g7co				Comment ont réagi les gens qui ont vu l'homme dans le Temple ?	Les gens étaient émerveillés et stupéfaits.

3:15	g25l				Qu'est-ce que Pierre a rappelé aux gens qu'ils avaient fait avec Jésus ?	Pierre a rappelé aux gens qu'ils avaient tué Jésus.

3:16	hu53				Qu'est-ce qui, selon Pierre, a permis à l'homme de se rétablir ?	Pierre a dit que la foi au nom de Jésus avait guéri l'homme.

3:19	um3z				Qu'est-ce que Pierre a dit aux gens de faire ?	Pierre a dit aux gens de se repentir.

3:21	p91w				Pierre a dit que les cieux accueilleraient Jésus jusqu'à quelle heure ?	Pierre a dit que jusqu'au moment de la restauration de toutes choses, Jésus serait reçu dans les cieux.

3:22	d589				Qu'a dit Moïse à propos de Jésus ?	Moïse a dit que le Seigneur Dieu susciterait un prophète comme lui, que le peuple écouterait.

3:23	bnr7				Qu'arrivera-t-il à toute personne qui n'écoutera pas Jésus ?	La personne qui n'écoute pas Jésus sera complètement détruite.

3:25	dfo9				Quelle promesse de l'alliance de l'Ancien Testament Pierre a-t-il rappelé au peuple ?	Pierre a rappelé aux gens qu'ils étaient les fils de l'alliance que Dieu a conclue avec Abraham lorsque Dieu a dit : "En ta postérité seront bénies toutes les familles de la terre."

3:26	xouf				Comment Dieu a-t-il voulu bénir les Juifs ?	Dieu a voulu bénir les Juifs en leur envoyant d'abord Jésus pour les détourner de leur méchanceté.

4:2	bou2				Qu'est-ce que Pierre et Jean enseignaient aux gens dans le Temple ?	Pierre et Jean enseignaient sur Jésus et sa résurrection des morts.

4:3	oct4				Comment les dirigeants du Temple, les prêtres et les sadducéens ont-ils réagi à l'enseignement de Pierre et de Jean ?	Ils ont arrêté Pierre et Jean et les ont mis en prison.

4:4	j6mc				Comment les gens ont-ils réagi à l'enseignement de Pierre et de Jean ?	Beaucoup de gens ont cru, environ cinq mille.

4:10	ir4l				Par quelle puissance ou en quel nom Pierre a-t-il dit qu'il avait guéri l'homme dans le Temple ?	Pierre a dit qu'au nom de Jésus-Christ, il avait guéri l'homme dans le Temple.

4:12	h7t2				Qu'est-ce que Pierre a dit être le seul moyen par lequel nous pouvons être sauvés ?	Pierre a dit qu'il n'y a pas d'autre nom que Jésus par lequel nous pouvons être sauvés.

4:14	m7c2				Pourquoi les chefs juifs n'ont-ils rien dit contre Pierre et Jean ?	Les chefs ne pouvaient rien dire car l'homme qui avait été guéri se tenait avec Pierre et Jean.

4:18	va4m				Qu'est-ce que les dirigeants juifs ont ordonné à Pierre et à Jean de ne pas faire ?	Les dirigeants juifs ont ordonné à Pierre et à Jean de ne pas parler ni enseigner sur Jésus.

4:20	fg4b				Comment Pierre et Jean ont-ils répondu aux chefs juifs ?	Pierre et Jean ont dit qu'ils ne pouvaient s'empêcher de parler des choses qu'ils avaient vues et entendues.

4:29-30	zgg2				Qu'ont demandé les croyants à Dieu en réponse aux avertissements des dirigeants juifs ?	Les croyants ont demandé de l'audace pour annoncer la parole, et que des signes et des prodiges soient accomplis au nom de Jésus.

4:31	s32l				Que s'est-il passé après que les croyants aient terminé leur prière ?	Après que les croyants eurent terminé leur prière, le lieu où ils étaient rassemblés fut secoué, ils furent remplis du Saint-Esprit, et ils annoncèrent la parole de Dieu avec audace.

4:32	dr85				Comment les besoins des croyants ont-ils été satisfaits ?	Les croyants avaient tout en commun, et ceux qui possédaient des biens les vendaient et donnaient l'argent pour qu'il soit distribué selon les besoins.

4:34-35	olxk				Comment les besoins des croyants ont-ils été satisfaits ?	Les croyants avaient tout en commun, et ceux qui possédaient des biens les vendaient et donnaient l'argent pour qu'il soit distribué selon les besoins.

4:36	s71k				Quel fut le nouveau nom, signifiant "Fils de l'encouragement", donné à l'homme qui vendit son champ et donna l'argent aux apôtres ?	Le nouveau nom donné à Joseph, qui a vendu son champ et donné l'argent aux apôtres, est "Barnabé".

5:1-2	tbrn				Quel péché Ananias et Sapphira ont-ils commis ?	Ananias et Saphira ont menti, en disant qu'ils donnaient la totalité du prix de vente de leur propriété, mais en réalité ils ne donnaient qu'une partie du prix de vente.

5:3-4	blzo				A qui Pierre a-t-il dit qu'Ananias et Sapphira avaient menti ?	Pierre a dit qu'Ananias et Sapphira n'avaient pas menti aux hommes, mais au Saint-Esprit.

5:5	rszk				Quel a été le jugement de Dieu sur Ananias ?	Dieu a tué Ananias.

5:10	a6u4				Quel a été le jugement de Dieu sur Sapphira ?	Dieu a tué Sapphira.

5:11	kpmp				Quelle a été la réaction de l'église et de tous ceux qui ont entendu parler d'Ananias et Saphira ?	Une grande crainte s'est emparée de l'église et de tous ceux qui ont entendu parler d'Ananias et de Saphira.

5:15-16	qhkh				Que faisaient certaines personnes pour que les malades soient guéris ?	Certains portaient les malades dans les rues afin que l'ombre de Pierre puisse tomber sur eux, et d'autres apportaient les malades d'autres villes à Jérusalem.

5:17-18	kxdc				Comment les sadducéens ont-ils réagi à la guérison de tous les malades à Jérusalem ?	Les sadducéens étaient remplis de jalousie et ont mis les apôtres en prison.

5:19	l8ow				Comment les apôtres sont-ils sortis de prison ?	Un ange est venu ouvrir les portes de la prison et les a fait sortir.

5:23	kyrz				Qu'ont trouvé les officiers du grand prêtre quand ils sont allés à la prison ?	Les officiers ont trouvé la prison bien fermée, mais personne à l'intérieur.

5:26	bzx1				Pourquoi les officiers ont-ils ramené les apôtres au grand prêtre et au conseil sans violence ?	Les officiers craignaient que le peuple ne les lapide.

5:29	cr64				Lorsqu'on les a interrogés sur la raison pour laquelle ils enseignaient au nom de Jésus alors qu'ils avaient été chargés de ne pas le faire, qu'ont répondu les apôtres ?	Les apôtres ont dit : "Il faut obéir à Dieu plutôt qu'aux hommes."

5:30	hced				Selon les apôtres, qui est responsable de la mort de Jésus ?	Les apôtres ont dit que le grand prêtre et les membres du conseil étaient responsables de la mort de Jésus.

5:33	w5d6				Comment les membres du conseil ont-ils réagi à la déclaration selon laquelle ils étaient responsables de la mort de Jésus ?	Les membres du conseil étaient furieux et voulaient tuer les apôtres.

5:38-39	hluy				Quel était le conseil de Gamaliel au conseil ?	Gamaliel a conseillé au conseil de laisser les hommes tranquilles.

5:39	mhbl				Qu'est-ce que Gamaliel a averti le conseil qu'il risquait de faire s'il essayait de renverser les apôtres ?	Gamaliel a averti le conseil qu'ils pourraient finir par se battre contre Dieu.

5:40	etag				Qu'est-ce que le concile a finalement fait des apôtres ?	Le conseil les battit et leur ordonna de ne pas parler au nom de Jésus, puis les laissa partir.

5:41	m1el				Comment les apôtres ont-ils réagi au traitement qu'ils ont reçu du conseil ?	Les apôtres se sont réjouis d'avoir été jugés dignes de subir le déshonneur pour le nom de Jésus.

5:42	kfh4				Que faisaient les apôtres chaque jour après leur réunion avec le conseil ?	Les apôtres ont prêché et enseigné chaque jour que Jésus est le Christ.

6:1	ijzu				Quelle plainte a été formulée par les Juifs grecs contre les Hébreux ?	Les Juifs grecs se sont plaints que leurs veuves étaient oubliées dans la distribution quotidienne de nourriture.

6:3	or7v				Qui a choisi les sept hommes pour s'occuper de la distribution de la nourriture ?	Les disciples (frères) ont choisi les sept hommes.

6:3	u5ro				Quelles étaient les qualifications requises pour être choisi comme l'un des sept hommes ?	Les sept hommes devaient être de bonne réputation, pleins de l'Esprit et de sagesse.

6:4	hfdc				Dans quoi les apôtres continueraient-ils ?	Les apôtres continueront à prier et à exercer le ministère de la parole.

6:6	l1sy				Qu'ont fait les apôtres lorsque les croyants ont amené les sept hommes ?	Les apôtres ont prié et leur ont imposé les mains.

6:7	s1cn				Que se passait-il avec les disciples à Jérusalem ?	Le nombre de disciples augmentait considérablement, y compris un grand nombre de prêtres.

6:10	b4fl				Qui gagnait les débats entre les Juifs incrédules et Etienne ?	Les Juifs incrédules n'ont pas pu s'opposer à la sagesse et à l'Esprit avec lesquels Etienne a parlé.

6:14	ji1y				Quelle accusation a été portée par de faux témoins contre Étienne devant le conseil ?	Les faux témoins ont prétendu qu'Etienne avait dit que Jésus détruirait ce lieu et changerait les coutumes de Moïse.

6:15	wpuh				Quand le conseil a regardé Stephen, qu'ont-ils vu ?	Ils virent que son visage était comme celui d'un ange.

7:2	u1f1				Etienne a commencé à passer en revue l'histoire du peuple juif en commençant par la promesse de Dieu à qui ?	Etienne a commencé son histoire en parlant de la promesse de Dieu à Abraham.

7:5	ae68				Quelle était la promesse de Dieu à Abraham ?	Dieu a promis une terre à Abraham et à ses descendants.

7:5	hv89				Pourquoi la promesse de Dieu à Abraham semblait-elle impossible à réaliser ?	La promesse de Dieu semblait impossible car Abraham n'avait pas d'enfants.

7:6	q4ib				Qu'est-ce que Dieu a dit qu'il arriverait d'abord aux descendants d'Abraham pendant quatre cents ans ?	Dieu a dit que les descendants d'Abraham seraient esclaves dans un pays étranger pendant quatre cents ans.

7:8	a7pl				Quelle alliance Dieu a-t-il donnée à Abraham ?	Dieu a donné à Abraham l'alliance de la circoncision.

7:9	stqg				Comment Joseph est-il devenu esclave en Égypte ?	Ses frères étaient jaloux de lui et l'ont vendu en Égypte.

7:10	pnme				Comment Joseph est-il devenu gouverneur d'Égypte ?	Dieu a donné à Joseph la faveur et la sagesse en présence de Pharaon.

7:12-13	onvz				Qu'a fait Jacob lorsqu'il y a eu une famine à Canaan ?	Jacob a envoyé ses fils en Égypte parce qu'il a entendu dire qu'il y avait du grain là-bas.

7:14	kdpl				Pourquoi Jacob et ses proches sont-ils partis en Égypte ?	Joseph a envoyé ses frères dire à Jacob de venir en Égypte.

7:17	qc45				Qu'est-il arrivé au nombre d'Israélites en Égypte à l'approche du temps promis à Abraham ?	Le nombre d'Israélites en Égypte a augmenté et s'est multiplié.

7:19	x8zh				Comment le nouveau roi d'Égypte a-t-il essayé de réduire le nombre d'Israélites ?	Le nouveau roi d'Égypte a obligé les Israélites à jeter leurs enfants en bas âge pour qu'ils ne survivent pas.

7:21	e77c				Comment Moïse a-t-il survécu au fait d'être jeté dehors ?	La fille du pharaon a pris Moïse et l'a élevé comme son propre fils.

7:22	yeub				Comment Moïse a-t-il été éduqué ?	Moïse a été instruit dans tout le savoir des Égyptiens.

7:24	wmvx				Lorsqu'il avait quarante ans, qu'a fait Moïse lorsqu'il a vu un Israélite se faire maltraiter ?	Moïse a défendu l'Israélite et a frappé l'Égyptien.

7:29	r6b0				Vers où Moïse s'est-il enfui ?	Moïse s'est enfui à Madian.

7:30	ycf8				Quand Moïse avait quatre-vingts ans, qu'a-t-il vu ?	Moïse a vu un ange dans une flamme de feu dans un buisson.

7:34	easv				Où le Seigneur a-t-il ordonné à Moïse d'aller, et qu'allait-il faire là-bas ?	Le Seigneur a ordonné à Moïse d'aller en Égypte, car Dieu allait sauver les Israélites.

7:36	ohne				Combien de temps Moïse a-t-il conduit les Israélites dans le désert ?	Moïse a conduit les Israélites dans le désert pendant quarante ans.

7:37	hq8v				Qu'est-ce que Moïse a prophétisé aux Israélites ?	Moïse a prophétisé aux Israélites que Dieu susciterait un prophète comme lui parmi leurs frères.

7:41	tkui				Comment les Israélites ont-ils tourné leur cœur vers l'Égypte ?	Les Israélites ont fait un veau et ont sacrifié à l'idole.

7:42	f7y3				Comment Dieu a-t-il répondu aux Israélites qui se sont détournés de lui ?	Dieu s'est détourné des Israélites et les a livrés pour servir l'armée du ciel.

7:43	hw00				Où Dieu a-t-il dit qu'il emporterait les Israélites ?	Dieu a dit qu'il emmènerait les Israélites à Babylone.

7:44-45	l6qa				Dans le désert, qu'est-ce que Dieu a ordonné aux Israélites de construire, qu'ils ont ensuite apporté dans le pays ?	Dans le désert, les Israélites ont construit le tabernacle du témoignage.

7:45	x351				Qui a chassé les nations devant les Israélites ?	Dieu a chassé les nations avant les Israélites.

7:46	k9y2				Qui a demandé de construire une habitation pour Dieu ?	David a demandé à construire une demeure pour Dieu.

7:47	hypb				Qui a réellement construit une maison pour Dieu ?	Salomon a construit une maison pour Dieu.

7:49	ubph				Où le Très-Haut a-t-il son trône ?	Le Très-Haut a le ciel pour trône.

7:51	pryb				Qu'est-ce qu'Etienne reproche aux gens de toujours faire, comme leurs ancêtres ?	Étienne a accusé le peuple de résister à l'Esprit Saint.

7:52	tdtc				De quoi Etienne a-t-il dit que le peuple était coupable à l'égard du Juste ?	Etienne a dit que le peuple avait trahi et assassiné le Juste.

7:54	vef4				Comment les membres du conseil ont-ils répondu aux accusations de Stephen ?	Les membres du conseil ont été touchés au cœur et ont grincé des dents devant Stephen.

7:55-56	kf0j				Qu'est-ce qu'Étienne a dit avoir vu en levant les yeux au ciel ?	Étienne dit avoir vu Jésus debout à la droite de Dieu.

7:57-58	fhm6				Qu'est-ce que les membres du conseil ont ensuite fait à Stephen ?	Les membres du conseil se précipitent sur lui, le jettent hors de la ville et le lapident.

7:58	h82u				Où les témoins ont-ils déposé leurs vêtements de dessus pendant la lapidation d'Étienne ?	Les témoins déposent leurs vêtements de dessus aux pieds d'un jeune homme nommé Saul.

7:60	b3o6				Quelle est la dernière chose que Stephen a demandée avant de mourir ?	Etienne a demandé à Dieu de ne pas faire porter la responsabilité de ce péché au peuple.

8:1	ff4n				Qu'a pensé Saul de la lapidation d'Étienne ?	Saul était d'accord avec la mort d'Étienne.

8:1	u11s				Qu'est-ce qui a commencé le jour où Stephen a été lapidé ?	Une grande persécution contre l'église de Jérusalem a commencé le jour de la lapidation d'Etienne.

8:1	st35				Qu'ont fait les croyants de Jérusalem ?	Les croyants de Jérusalem étaient dispersés dans les régions de Judée et de Samarie.

8:6	evnl				Pourquoi les habitants de Samarie ont-ils prêté attention à ce que Philippe a dit ?	Les gens ont prêté attention quand ils ont vu les signes que Philippe a fait.

8:9-11	h4ec				Pourquoi les habitants de Samarie avaient-ils prêté attention à Simon ?	Les gens avaient fait attention quand ils ont vu ses sorcelleries.

8:13	yddg				Quand Simon a entendu le message de Philippe, qu'a-t-il fait ?	Simon aussi crut et fut baptisé.

8:17	vjqw				Que s'est-il passé lorsque Pierre et Jean ont imposé les mains aux croyants de Samarie ?	Les croyants de Samarie ont reçu le Saint-Esprit.

8:18-19	kb86				Quelle offre Simon a-t-il faite aux apôtres ?	Simon a proposé aux apôtres de l'argent en échange du pouvoir de donner le Saint-Esprit par l'imposition des mains.

8:23	civh				Après que Simon ait fait cette offre aux apôtres, quel était, selon Pierre, son état spirituel ?	Pierre dit que Simon était dans le poison de l'amertume et les liens du péché.

8:26	ignl				Qu'est-ce qu'un ange a dit à Philippe de faire ?	Un ange a dit à Philippe de se rendre au sud, sur la route du désert, en direction de Gaza.

8:27-28	niwj				Qui Philippe a-t-il rencontré et que faisait cette personne ?	Philippe a rencontré un eunuque éthiopien de grande autorité qui, assis dans son char, lisait le prophète Isaïe.

8:30	oujy				Quelle question Philippe a-t-il posée à l'homme ?	Philippe demande à l'homme : "Comprends-tu ce que tu lis ?"

8:31	bpo8				Qu'est-ce que l'homme a demandé à Philippe de faire ?	L'homme demanda à Philippe de monter dans le char et d'expliquer ce qu'il lisait.

8:32	ixnh				Qu'arrive-t-il à la personne décrite dans le passage d'Ésaïe qui a été lu ?	La personne est conduite comme un mouton à l'abattoir, mais n'ouvre pas la bouche.

8:34	m06z				Quelle question l'homme a-t-il posée à Philippe au sujet de l'Écriture qu'il lisait ?	L'homme demanda à Philippe si le prophète parlait de lui-même ou d'une autre personne.

8:35	wcii				Qui, selon Philippe, était la personne mentionnée dans le texte d'Esaïe ?	Philippe a expliqué que la personne décrite dans le texte d'Esaïe était Jésus.

8:38	hebs				Que fit alors Philippe à cet homme ?	Philippe et l'eunuque sont tous deux entrés dans l'eau et Philippe l'a baptisé.

8:39	s04t				Qu'est-il arrivé à Philippe quand il est sorti de l'eau ?	Quand Philippe est sorti de l'eau, l'Esprit du Seigneur l'a emporté.

8:39	xp5m				Qu'a fait l'eunuque quand il est sorti de l'eau ?	Lorsque l'eunuque est sorti de l'eau, il a poursuivi son chemin en se réjouissant.

9:1-2	fb5p				Qu'est-ce que Saul a demandé au grand prêtre de Jérusalem la permission de faire ?	Saul demanda des lettres afin de pouvoir se rendre à Damas et ramener liés ceux qui appartenaient au Chemin.

9:3	lmyv				Alors que Saul approchait de Damas, qu'a-t-il vu ?	Alors que Saul approchait de Damas, il a vu une lumière venant du ciel.

9:4	vaey				Qu'est-ce que la voix a dit à Saul ?	La voix dit : "Saul, Saul, pourquoi me persécutes-tu ?".

9:5	c3r1				Lorsque Saul a demandé qui lui parlait, quelle a été la réponse ?	La réponse fut : "Je suis Jésus que vous persécutez".

9:8	rx61				Quand Saul s'est relevé de terre, que lui était-il arrivé ?	Quand Saul s'est levé, il ne voyait rien.

9:9	mfwm				Où Saul est-il allé et qu'a-t-il fait ?	Saul se rendit à Damas et ne mangea ni ne but pendant trois jours.

9:11-12	yzg2				Qu'est-ce que le Seigneur a dit à Ananias de faire ?	Le Seigneur a dit à Ananias d'aller imposer les mains à Saul, afin que ce dernier recouvre la vue.

9:13-14	zpb4				Quelle préoccupation Ananias a-t-il exprimée au Seigneur ?	Ananias était inquiet car il savait que Saul était venu à Damas pour arrêter tous ceux qui invoquaient le nom du Seigneur.

9:15	eq7g				Quelle mission le Seigneur a-t-il dit qu'il avait pour Saul comme son instrument choisi ?	Le Seigneur a dit que Saul porterait le nom du Seigneur devant les païens, les rois et les enfants d'Israël.

9:16	htif				Le Seigneur a-t-il dit que la mission de Saul serait facile ou difficile ?	Le Seigneur a dit que Saul souffrirait beaucoup pour la cause du nom du Seigneur.

9:19	hnuj				Après qu'Ananias ait imposé les mains à Saul, que s'est-il passé ?	Après qu'Ananias a imposé les mains à Saul, ce dernier a recouvré la vue, a été baptisé et a mangé.

9:20	shrd				Qu'est-ce que Saul a immédiatement commencé à faire ?	Saul a immédiatement commencé à proclamer Jésus dans les synagogues, en disant qu'il est le Fils de Dieu.

