1:1	biiw				Comment Paul est-il devenu un apôtre du Christ Jésus ?	Paul est devenu apôtre du Christ Jésus par la volonté de Dieu.

1:2	vnnj				A qui Paul a-t-il écrit cette lettre ?	Paul a écrit à ceux qui sont mis à part pour Dieu et aux frères fidèles de Colosses.

1:5	qqwf				D'où les Colossiens ont-ils entendu parler de l'attente confiante qu'ils ont maintenant ?	Les Colossiens ont entendu parler de leur attente confiante dans la parole de vérité, l'évangile.

1:6	qikj				Selon Paul, que fait l'Évangile dans le monde ?	Paul dit que l'Évangile a porté du fruit et a grandi dans le monde entier.

1:7	dmf2				Qui a présenté l'évangile aux Colossiens ?	Epaphras, le fidèle serviteur du Christ, a présenté l'évangile aux Colossiens.

1:9	ausf				De quoi Paul prie-t-il que les Colossiens soient remplis ?	Paul prie pour que les Colossiens soient remplis de la connaissance de la volonté de Dieu en toute sagesse et intelligence spirituelle.

1:10	f2yy				Comment Paul prie-t-il pour que les Colossiens marchent dans leur vie ?	Paul prie pour que les Colossiens marchent d'une manière digne du Seigneur, portant du fruit par de bonnes actions, croissant dans la connaissance de Dieu.

1:12	qrlr				Pour quoi les personnes mises à part pour Dieu ont-elles été qualifiées ?	Ceux qui sont mis à part pour Dieu ont été qualifiés pour une part de l'héritage dans la lumière.

1:13	y7as				De quoi le Père a-t-il sauvé ceux qui ont été mis à part pour lui ?	Il les a sauvés de la domination des ténèbres et les a transférés dans le royaume de son Fils.

1:14	z9ct				En Christ, nous avons la rédemption, c'est-à-dire quoi ?	En Christ, nous avons la rédemption, c'est-à-dire le pardon des péchés.

1:15	s0kt				Le Fils est l'image de qui ?	Le Fils est l'image du Dieu invisible.

1:16	zfor				Qu'est-ce qui a été créé par Jésus-Christ et pour lui ?	Toutes choses ont été créées par Jésus-Christ et pour lui.

1:20	r641				Comment Dieu a-t-il réconcilié toutes choses avec lui-même ?	Dieu a réconcilié toutes choses avec lui lorsqu'il a fait la paix par le sang de son Fils.

1:21	xtyt				Quelle relation les Colossiens avaient-ils avec Dieu avant de croire à l'Évangile ?	Avant de croire à l'Évangile, les Colossiens étaient séparés de Dieu et étaient ses ennemis.

1:23	xys7				Que doivent continuer à faire les Colossiens ?	Les Colossiens doivent continuer à être établis dans la foi et confiants dans l'Évangile.

1:24	bn1j				Pour qui Paul souffre-t-il, et quelle est son attitude ?	Paul souffre pour le bien de l'église, et il s'en réjouit.

1:27	lkx8				Quel est le mystère qui a été caché pendant des siècles mais qui est maintenant révélé ?	Le mystère qui était caché depuis des siècles et qui a été révélé maintenant, c'est le Christ en vous, la confiance de la gloire.

1:28	teww				Quel est l'objectif pour lequel Paul exhorte et enseigne chaque homme ?	L'objectif de Paul est de présenter chaque personne complète en Christ.

2:2	khgw				Quel est le mystère de Dieu ?	Le mystère de Dieu, c'est le Christ.

2:3	uqaw				Qu'est-ce qui est caché dans le Christ ?	Tous les trésors cachés de la sagesse et de la connaissance sont cachés dans le Christ.

2:4	dzdw				Qu'est-ce que Paul craint qu'il arrive aux Colossiens ?	Paul est préoccupé par le fait que les Colossiens puissent être trompés par des discours persuasifs.

2:6	zuqz				Que demande Paul aux Colossiens de faire maintenant qu'ils ont reçu le Christ Jésus ?	Paul appelle les Colossiens à marcher dans le Christ Jésus de la même manière qu'ils l'ont reçu.

2:8	exp5				Sur quoi sont fondées les tromperies vides dont Paul s'inquiète ?	Les tromperies vides de sens sont basées sur la tradition humaine et les systèmes de croyances pécheresses du monde.

2:9	j96c				Qu'est-ce qui vit dans le Christ ?	Toute la plénitude de la nature de Dieu vit dans le Christ.

2:10	nr08				Qui est le chef de toute règle et autorité ?	Le Christ est le chef de toute règle et autorité.

2:11	oxvn				Qu'est-ce qui est supprimé par la circoncision du Christ ?	Le corps de chair pécheur est supprimé par la circoncision du Christ.

2:12	cl9z				Que se passe-t-il lors du baptême ?	Une personne est enterrée avec le Christ par le baptême.

2:13	qd9n				Quelle est la condition d'une personne avant que le Christ ne la rende vivante ?	Une personne est morte dans ses péchés avant que le Christ ne la rende vivante.

2:14	qmky				Qu'a fait le Christ avec le dossier des dettes qui nous sont imputées ?	Le Christ a supprimé le registre des dettes et l'a cloué sur la croix.

2:15	qg82				Qu'a fait le Christ avec les dirigeants et les autorités ?	Le Christ a supprimé les dirigeants et les autorités, les a exposés ouvertement et les a conduits comme ses captifs dans un cortège de victoire.

2:16	v5it				Qu'est-ce que Paul dit être une ombre des choses à venir ?	Paul dit que la nourriture, la boisson, les jours de fête et les sabbats sont l'ombre des choses à venir.

2:17	f82o				Vers quelle réalité les ombres pointent-elles ?	Les ombres indiquent la réalité du Christ.

2:19	wx2i				De quoi le corps entier croît-il avec la croissance de Dieu ?	Le corps entier s'attache au Christ, la tête, pour croître avec la croissance de Dieu.

2:21	rpy1				Quels types de commandements, selon Paul, font partie des croyances du monde ?	Les commandements de ne pas manipuler, de ne pas goûter et de ne pas toucher font partie des croyances du monde.

2:23	e01i				Contre quoi les règles de la religion artificielle n'ont-elles aucune valeur ?	Les règles de la religion artificielle n'ont aucune valeur contre l'indulgence de la chair.

3:1	femj				Où le Christ a-t-il été élevé ?	Le Christ a été élevé pour s'asseoir à la droite de Dieu.

3:1-2	nvqy				Que doivent rechercher les croyants, et que ne doivent-ils pas rechercher ?	Les croyants doivent rechercher les choses d'en haut et non les choses de la terre.

3:3	lgs1				Où Dieu a-t-il placé la vie du croyant ?	Dieu a caché la vie du croyant dans le Christ.

3:4	c3iv				Qu'arrivera-t-il au croyant lorsque le Christ sera révélé ?	Lorsque le Christ sera révélé, le croyant sera également révélé avec lui dans la gloire.

3:5	kkr7				Que doit mettre à mort le croyant ?	Le croyant doit mettre à mort les désirs pécheurs de la terre.

3:6	kdva				Qu'arrive-t-il à ceux qui sont désobéissants à Dieu ?	La colère de Dieu s'abat sur ceux qui sont désobéissants à Dieu.

3:8	v608				Quelles sont certaines des choses dont Paul dit que les croyants doivent se débarrasser, qui font partie du vieux moi ?	Les croyants doivent se débarrasser de la colère, de l'emportement, des mauvaises intentions, des insultes et des propos obscènes.

3:10	qw6m				À l'image de qui le nouveau moi du croyant est-il créé ?	Le nouveau moi du croyant est créé à l'image du Christ.

3:12	egq2				Quelles sont certaines des choses que Paul dit que les croyants doivent revêtir, qui font partie du nouveau moi ?	Les croyants doivent revêtir un cœur de compassion, de bonté, d'humilité, de douceur et de patience.

3:13	w8ro				De quelle manière le croyant doit-il pardonner ?	Le croyant doit pardonner de la même manière que le Seigneur lui a pardonné.

3:14	wp9t				Quel est le lien de perfection entre les croyants ?	L'amour est le lien de la perfection.

3:15	rean				Qu'est-ce qui doit dominer dans le cœur du croyant ?	La paix du Christ doit régner dans le cœur du croyant.

3:16	japv				Qu'est-ce qui doit vivre richement dans le croyant ?	La parole du Christ doit vivre richement dans le croyant.

3:15-17	jpyu				Que doit donner le croyant à Dieu dans son attitude, son chant, sa parole et son action ?	Dans son attitude, son chant, ses paroles et ses actes, le croyant doit rendre grâce à Dieu.

3:18	akjv				Comment une femme doit-elle répondre à son mari ?	Une femme doit se soumettre à son mari.

3:19	hqz9				Comment un mari doit-il traiter sa femme ?	Un mari doit aimer sa femme et ne pas être amer envers elle.

3:20	x7je				Comment un enfant doit-il traiter ses parents ?	Un enfant doit obéir à ses parents en toutes choses.

3:21	v3wd				Que ne doit pas faire un père à ses enfants ?	Un père ne doit pas provoquer ses enfants.

3:23-24	gj77				Pour qui les croyants travaillent-ils dans tout ce qu'ils font ?	Les croyants travaillent pour le Seigneur dans tout ce qu'ils font.

3:24	bc4j				Que recevront ceux qui servent le Seigneur dans tout ce qu'ils font ?	Ceux qui servent le Seigneur dans tout ce qu'ils font recevront la récompense de l'héritage.

3:25	ja48				Que recevront ceux qui commettent l'iniquité ?	Ceux qui commettent l'iniquité recevront le châtiment pour ce qu'ils ont fait.

4:1	n50r				Qu'est-ce que Paul rappelle aux maîtres terrestres qu'ils ont aussi ?	Paul rappelle aux maîtres terrestres qu'ils ont aussi un maître au ciel.

4:2	w7om				Dans quoi Paul veut-il que les Colossiens poursuivent avec constance ?	Paul veut que les Colossiens continuent à prier avec constance.

4:3	xvny				Pour quoi Paul veut-il que les Colossiens prient ?	Paul veut que les Colossiens prient pour qu'il ait une porte ouverte pour annoncer la parole, le mystère du Christ.

4:5-6	igt2				Comment Paul demande-t-il aux Colossiens de traiter ceux qui sont des étrangers ?	Paul leur demande de vivre dans la sagesse, et de parler avec grâce à ceux qui sont étrangers.

4:7-9	qfoi				Quelle tâche Paul avait-il confié à Tychique et Onésime ?	Paul leur a confié la tâche de faire connaître aux Colossiens tout ce qui le concerne.

4:10	wv4f				Quelles instructions Paul a-t-il données concernant Marc, le cousin de Barnabus ?	Paul a dit aux Colossiens de recevoir Marc s'il vient chez eux.

4:12	f29y				Pour quoi Epaphras prie-t-il pour les Colossiens ?	Il prie pour que les Colossiens soient complets et pleinement assurés dans toute la volonté de Dieu.

4:14	xm1y				Quel est le nom du médecin qui est avec Paul ?	Le nom du médecin est Luke.

4:15	uafc				Dans quel genre d'endroit l'église de Laodicée se réunissait-elle ?	L'église de Laodicée se réunissait dans une maison.

4:16	bwcc				A quelle autre église Paul avait-il également écrit une lettre ?	Paul avait également écrit une lettre à l'église de Laodicée.

4:18	vzcp				Comment Paul a-t-il montré que cette lettre était bien de lui ?	Paul a écrit son nom de sa propre main à la fin de la lettre.
