1:1	o4pb				Dans la généalogie de Jésus-Christ, quels sont les deux ancêtres cités en premier, ce qui indique leur importance ?	Les deux premiers ancêtres cités sont David et Abraham.

1:16	vey7				À la fin de la généalogie, qui est la femme qui est nommée, et pourquoi est-elle citée ?	Marie, l'épouse de Joseph, est citée parce que c'est elle qui a donné naissance à Jésus.

1:18	yex8				Qu'est-il arrivé à Marie avant qu'elle ne soit réunie avec Joseph ?	Marie est tombée enceinte par l'Esprit Saint avant de s'unir à Joseph.

1:19	tu3d				Quel genre d'homme était Joseph ?	Joseph était un homme juste.

1:19	xrzl				Qu'est-ce que Joseph a décidé de faire lorsqu'il a appris que Marie était enceinte ?	Joseph décide de mettre fin secrètement aux fiançailles avec Marie.

1:20	wuf6				Qu'est-il arrivé à Joseph pour qu'il décide de rester fiancé à Marie ?	Un ange a dit en rêve à Joseph de prendre Marie pour épouse car le bébé a été conçu par le Saint-Esprit.

1:21	sz7n				Pourquoi a-t-on dit à Joseph de donner au bébé le nom de Jésus ?	On a dit à Joseph d'appeler le bébé Jésus parce qu'il sauvera son peuple de ses péchés.

1:23	hqo8				Qu'est-il écrit dans la prophétie de l'Ancien Testament qui s'est accomplie dans ces événements ?	La prophétie de l'Ancien Testament était qu'une vierge donnerait naissance à un fils et qu'on l'appellerait Emmanuel, ce qui signifie "Dieu avec nous".

1:25	keii				Qu'est-ce que Joseph a pris soin de ne pas faire jusqu'à ce que Marie donne naissance à Jésus ?	Joseph a pris soin de ne pas coucher avec Marie jusqu'à ce qu'elle donne naissance à Jésus.

2:1	yxb0				Où est né Jésus ?	Jésus est né à Bethléem en Judée.

2:2	be08				Quel titre les savants de l'Orient ont-ils donné à Jésus ?	Les savants de l'Orient ont donné à Jésus le titre de "roi des Juifs".

2:2	jrcn				Comment les savants ont-ils su que le Roi des Juifs était né ?	Les savants avaient vu l'étoile du roi des Juifs à l'orient.

2:3	wupq				Comment le roi Hérode a-t-il réagi à la nouvelle des savants ?	Lorsque le roi Hérode entendit les nouvelles des savants, il fut troublé.

2:5-6	mk3s				Comment les chefs des prêtres et les scribes ont-ils su où le Christ naîtrait ?	Ils connaissaient la prophétie qui disait que le Christ naîtrait à Bethléem.

2:9	t6q7				Comment les hommes instruits ont-ils trouvé l'endroit exact où se trouvait Jésus ?	L'étoile de l'Orient les précédait jusqu'à ce qu'elle se tienne au-dessus de l'endroit où se trouvait Jésus.

2:11	g4rc				Quel âge avait Jésus lorsque les savants sont venus le voir ?	Jésus était un jeune enfant lorsque les savants sont venus le voir.

2:11	y31m				Quels cadeaux les hommes instruits ont-ils offerts à Jésus ?	Les savants ont offert à Jésus des cadeaux en or, en encens et en myrrhe.

2:12	fqou				Par quel chemin les savants sont-ils rentrés chez eux, et pourquoi ont-ils pris ce chemin ?	Les savants sont retournés chez eux par un autre chemin, car Dieu les a avertis en rêve de ne pas retourner chez Hérode.

2:13	dzal				Quelles instructions Joseph a-t-il reçues en rêve ?	Dans un rêve, Joseph a reçu l'ordre de prendre Jésus et Marie et de fuir en Égypte, car Hérode allait essayer de tuer Jésus.

2:15	knfb				Quelle prophétie a été accomplie par le retour ultérieur de Jésus d'Égypte ?	La prophétie "J'ai appelé mon fils hors d'Égypte" s'est accomplie lorsque Jésus est revenu d'Égypte.

2:16	o05g				Qu'a fait Hérode lorsque les savants ne sont pas revenus vers lui ?	Hérode a tué tous les enfants mâles de la région de Bethléem qui avaient deux ans ou moins.

2:19-20	ozgy				Quelles instructions Joseph a-t-il reçues en rêve après la mort d'Hérode ?	Joseph a reçu l'instruction en rêve de retourner en terre d'Israël.

2:22-23	bjy2				Où Joseph s'est-il installé pour vivre avec Marie et Jésus ?	Joseph s'installe pour vivre avec Marie et Jésus à Nazareth en Galilée.

2:23	v8a4				Quelle prophétie s'est accomplie lorsque Joseph a déménagé dans leur nouvel emplacement ?	La prophétie selon laquelle le Christ serait appelé Nazaréen s'est accomplie.

3:2	yrif				Quel était le message que Jean le Baptiste a prêché dans le désert ?	Jean a prêché : "Repentez-vous, car le royaume des cieux est proche".

3:3	syhu				Qu'est-ce que la prophétie d'Ésaïe disait que Jean le Baptiste viendrait faire ?	La prophétie disait que Jean le Baptiste avertissait les gens de préparer le chemin du Seigneur.

3:6	scs9				Que faisaient les gens lorsqu'ils étaient baptisés par Jean ?	Au moment du baptême, les gens ont confessé leurs péchés.

3:8	ifo4				Qu'est-ce que Jean-Baptiste a dit aux Pharisiens et aux Sadducéens de faire ?	Jean le Baptiste a dit aux pharisiens et aux sadducéens de porter des fruits dignes de la repentance.

3:9	xhzh				Qu'est-ce que Jean-Baptiste a dit aux pharisiens et aux sadducéens pour qu'ils ne pensent pas entre eux ?	Jean a averti les pharisiens et les sadducéens de ne pas penser entre eux qu'ils avaient Abraham pour père.

3:10	xnsa				Selon Jean, qu'arrive-t-il à tout arbre qui ne produit pas de bons fruits ?	Jean dit que tout arbre qui ne porte pas de bons fruits est abattu et jeté au feu.

3:11	uhbl				Comment celui qui venait après Jean baptisera-t-il ?	Celui qui venait après Jean baptisera avec le Saint-Esprit et le feu.

3:15	ym2n				Qu'a dit Jésus à Jean pour le convaincre de baptiser Jésus ?	Jésus a dit qu'il était juste que Jean baptise Jésus afin d'accomplir toute justice.

3:16	sxkf				Qu'a vu Jésus quand il est sorti de l'eau ?	Lorsqu'il est sorti de l'eau, Jésus a vu l'Esprit de Dieu descendre comme une colombe et se poser sur lui.

3:17	ay86				Qu'a dit la voix du ciel après le baptême de Jésus ?	La voix du ciel dit : "Celui-ci est mon Fils bien-aimé, en qui j'ai mis toute mon affection."

4:1	gqn9				Qui a conduit Jésus dans le désert pour être tenté par le diable ?	Le Saint-Esprit a conduit Jésus dans le désert pour qu'il soit tenté par le diable.

4:2	zpk7				Combien de temps Jésus a-t-il jeûné dans le désert ?	Jésus a jeûné 40 jours et 40 nuits dans le désert.

4:3	y3rx				Quelle a été la première tentation que le diable a présentée à Jésus ?	Le diable a tenté Jésus de transformer les pierres en pain.

4:4	tnh8				Quelle a été la réponse de Jésus à la première tentation ?	Jésus a dit que l'homme ne vivra pas seulement de pain, mais de toute parole qui sort de la bouche de Dieu.

4:5-6	wdbz				Quelle a été la deuxième tentation que le diable a présentée à Jésus ?	Le diable a tenté Jésus de se jeter du haut du temple.

4:7	e1zm				Quelle a été la réponse de Jésus à la deuxième tentation ?	Jésus a dit que vous ne devez pas tester le Seigneur votre Dieu.

4:8-9	vmo7				Quelle a été la troisième tentation que le diable a présentée à Jésus ?	Le diable a tenté Jésus de l'adorer en échange de tous les royaumes du monde.

4:10	w6c0				Quelle a été la réponse de Jésus à la troisième tentation ?	Jésus a dit que tu dois adorer le Seigneur ton Dieu et ne servir que lui.

4:15-16	repn				Qu'est-ce qui a été accompli par le déménagement de Jésus à Capharnaüm en Galilée ?	La prophétie d'Ésaïe s'est accomplie, qui disait que les gens de Galilée verraient une grande lumière.

4:17	nlu9				Quel message Jésus a-t-il alors commencé à prêcher ?	Jésus a prêché : "Repentez-vous, car le royaume des cieux s'est approché".

4:18	sxgw				Comment Pierre et André gagnaient-ils leur vie ?	Pierre et André étaient des pêcheurs.

4:19	p6f9				Qu'est-ce que Jésus a dit qu'il ferait de Pierre et André ?	Jésus a dit qu'il ferait de Pierre et d'André des pêcheurs d'hommes.

4:21	ixuu				Comment Jacques et Jean gagnaient-ils leur vie ?	Jacques et Jean étaient des pêcheurs.

4:23	m2da				À cette époque, où Jésus se rendait-il pour enseigner ?	Jésus enseignait dans les synagogues de Galilée.

4:24	ozsj				Quel genre de personnes a-t-on amené à Jésus, et qu'a-t-il fait d'elles ?	Tous ceux qui étaient malades et possédés de démons furent amenés à Jésus, et Jésus les guérit.

4:25	pmkg				Combien de personnes suivaient Jésus à cette époque ?	De grandes multitudes suivaient Jésus à cette époque.

5:3	ag3n				Pourquoi les pauvres en esprit sont-ils bénis ?	Les pauvres en esprit sont bénis car le royaume des cieux est à eux.

5:4	n14d				Pourquoi ceux qui pleurent sont-ils bénis ?	Ceux qui sont en deuil sont bénis car ils seront réconfortés.

5:5	o8cp				Pourquoi les doux sont-ils bénis ?	Les doux sont bénis car ils hériteront de la terre.

5:6	jdok				Pourquoi ceux qui ont faim et soif de justice sont-ils bénis ?	Ceux qui ont faim et soif de justice sont bénis car ils seront rassasiés.

5:11-12	bzpk				Pourquoi ceux qui sont insultés et persécutés à cause de Jésus sont-ils bénis ?	Ceux qui sont insultés et persécutés à cause de Jésus sont bénis car leur récompense est grande dans le ciel.

5:15-16	nton				Comment les croyants font-ils briller leur lumière devant les gens ?	Les croyants font briller leur lumière devant les gens en faisant de bonnes actions.

5:17	m45b				Qu'est-ce que Jésus est venu faire avec la loi et les prophètes de l'Ancien Testament ?	Jésus est venu accomplir la loi et les prophètes de l'Ancien Testament.

5:19	cpsi				Qui sera appelé grand dans le royaume des cieux ?	Ceux qui gardent les commandements de Dieu et qui les enseignent aux autres seront appelés grands dans le royaume des cieux.

5:21-22	hm97				Jésus a enseigné que non seulement ceux qui commettent un meurtre risquent d'être jugés, mais aussi ceux qui font quoi ?	Jésus a enseigné que non seulement ceux qui tuent, mais aussi ceux qui sont en colère contre leur frère risquent le jugement.

5:23-24	smqo				Qu'est-ce que Jésus a enseigné que nous devrions faire si notre frère a quelque chose contre nous ?	Jésus a enseigné que nous devrions aller nous réconcilier avec notre frère s'il a quelque chose contre nous.

5:25	hrzt				Qu'est-ce que Jésus a enseigné que nous devrions faire avec notre accusateur avant d'aller au tribunal ?	Jésus a enseigné que nous devions essayer de trouver un accord avec notre accusateur avant de nous rendre au tribunal.

5:27-28	ncer				Jésus a enseigné que c'était non seulement mal de commettre un adultère, mais aussi de faire quoi ?	Jésus a enseigné que c'était non seulement mal de commettre un adultère, mais aussi de convoiter une femme.

5:29-30	v31v				Qu'est-ce que Jésus a dit que nous devons faire avec tout ce qui nous fait pécher ?	Jésus a dit que nous devons nous débarrasser de tout ce qui nous pousse à pécher.

5:32	ulyk				Pour quelle raison Jésus a-t-il autorisé le divorce ?	Jésus a autorisé le divorce pour cause d'immoralité sexuelle.

5:32	y1kc				Qu'est-ce qu'un mari fait devenir à sa femme s'il la divorce à tort et qu'elle se remarie ?	Un mari fait en sorte que sa femme devienne adultère s'il la divorce à tort et qu'elle se remarie.

5:37	lkhu				Au lieu de prêter serment à diverses choses terrestres, comment Jésus dit-il que notre discours devrait être ?	Jésus dit qu'au lieu de prêter serment sur toutes ces choses, nous devrions laisser notre discours être : "Oui, oui" ou "Non, non".

5:38-39	dc0m				Qu'est-ce que Jésus a enseigné que nous devrions faire avec celui qui est mauvais envers nous ?	Jésus a enseigné que nous ne devions pas résister à celui qui nous fait du mal.

5:43-44	tzwh				Qu'est-ce que Jésus a enseigné que nous devrions faire avec nos ennemis et avec ceux qui nous persécutent ?	Jésus a enseigné que nous devions aimer et prier pour nos ennemis et pour ceux qui nous persécutent.

5:46-47	z9fk				Pourquoi Jésus a-t-il dit que nous ne devons pas seulement aimer ceux qui nous aiment, mais aussi aimer nos ennemis ?	Jésus a dit que si nous aimons seulement ceux qui nous aiment, nous ne recevons pas de récompense parce que nous ne faisons que ce que les païens font déjà.

6:2	dugw				Quelle est la récompense de ceux qui font leurs actes de justice pour être vus par les gens ?	Ceux qui accomplissent leurs actes de justice pour être vus par les gens reçoivent les louanges des gens comme récompense.

6:3-4	nwuq				Comment devons-nous accomplir nos actes de justice afin d'être récompensés par le Père ?	Nous devrions faire nos actes de droiture en privé.

6:5	nrrh				Quelle récompense reçoivent ceux qui sont hypocrites et qui prient pour être vus par les gens ?	Les hypocrites qui prient pour être vus par les gens reçoivent leur récompense des gens.

6:6	j30d				Ceux qui prient en privé reçoivent une récompense de qui ?	Ceux qui prient en privé reçoivent une récompense du Père.

6:7	pr6e				Pourquoi Jésus dit-il que nous ne devons pas prier avec des répétitions inutiles ?	Jésus dit que nous ne devons pas prier avec des répétitions inutiles car le Père sait ce dont nous avons besoin avant que nous le lui demandions.

6:10	k776				Où devrions-nous demander au Père que sa volonté soit faite ?	Nous devons demander au Père que sa volonté soit faite sur la terre, comme elle est déjà faite au ciel.

6:15	pa2i				Si nous ne pardonnons pas aux autres leurs dettes envers nous, que fera le Père ?	Si nous ne pardonnons pas aux autres leurs dettes envers nous, le Père ne pardonnera pas nos dettes.

6:16-18	ncwu				Comment devons-nous jeûner afin de recevoir une récompense du Père ?	Nous devons jeûner sans avoir l'air de jeûner aux yeux des gens, et alors le Père nous récompensera.

6:19-20	oghj				Où devrions-nous stocker des trésors, et pourquoi ?	Nous devons amasser des trésors dans le ciel, car ils ne peuvent y être détruits ou volés.

6:21	qstf				Quel sera l'endroit où se trouve notre trésor ?	Notre cœur sera là où se trouve notre trésor.

6:24	mi47				Entre quels deux maîtres devons-nous choisir ?	Nous devons choisir entre Dieu et la richesse comme maîtres.

6:25-26	zm5x				Pourquoi ne devrions-nous pas nous préoccuper de la nourriture, de la boisson et des vêtements ?	Nous ne devons pas nous soucier de la nourriture, de la boisson et des vêtements, car le Père prend même soin des oiseaux, et nous avons beaucoup plus de valeur qu'eux.

6:27	x4ew				Qu'est-ce que Jésus nous rappelle que nous ne pouvons pas faire en étant anxieux ?	Jésus nous rappelle que nous ne pouvons pas ajouter une coudée à notre durée de vie en étant anxieux.

6:33	rbf5				Que devons-nous chercher en premier, et tous nos besoins terrestres seront alors pourvus ?	Nous devons chercher d'abord le royaume et la justice du Père, et alors tous nos besoins terrestres seront pourvus.

7:3-5	ku6c				Que devons-nous faire d'abord avant de voir clairement pour aider notre frère ?	Nous devons d'abord nous juger nous-mêmes et enlever la poutre de notre propre œil avant de pouvoir aider notre frère.

7:6	jard				Que peut-il arriver si vous donnez ce qui est sacré aux chiens ?	Si vous donnez ce qui est sacré aux chiens, ils peuvent le piétiner et ensuite se retourner et vous mettre en pièces.

7:8	i55x				Que devons-nous faire pour recevoir du Père ?	Nous devons demander, chercher et frapper afin de recevoir du Père.

7:11	at3q				Que donne le Père à ceux qui le demandent ?	Le Père donne de bonnes choses à ceux qui les lui demandent.

7:12	by0j				Que nous enseignent la loi et les prophètes sur la façon de traiter les autres ?	La loi et les prophètes nous apprennent à faire aux autres ce que nous voulons que les gens nous fassent.

7:13	cj0y				A quoi mène la voie large ?	La voie large mène à la destruction.

7:14	r0pt				A quoi mène le chemin étroit ?	Le chemin étroit mène à la vie.

7:15-16	rrfw				Comment reconnaître les faux prophètes ?	Nous pouvons reconnaître les faux prophètes au fruit de leur vie.

7:21	ua6l				Qui entrera dans le royaume des cieux ?	Ceux qui font la volonté du Père entreront dans le royaume des cieux.

7:22-23	uvqb				Que dira Jésus à ceux qui ont prophétisé, chassé des démons et fait des miracles au nom de Jésus ?	Jésus leur dira : "Je ne vous ai jamais connus ! Eloignez-vous de moi, malfaiteurs" !

7:24	spf7				Qui est comme l'homme sage dans la parabole des deux maisons de Jésus ?	Celui qui entend les paroles de Jésus et y obéit est comme l'homme sage.

7:26	xg7q				Qui est comme l'homme insensé dans la parabole des deux maisons de Jésus ?	Celui qui entend les paroles de Jésus et n'y obéit pas est comme l'homme insensé.

7:29	kq7z				Comment Jésus a-t-il enseigné aux gens par rapport à la façon dont les scribes enseignaient ?	Jésus enseignait aux gens comme quelqu'un qui avait de l'autorité, et non comme les scribes enseignaient.

8:4	is9n				Pourquoi Jésus a-t-il dit que le lépreux guéri devait aller voir le prêtre et lui offrir le cadeau que Moïse avait ordonné ?	Jésus a dit au lépreux guéri d'aller voir le prêtre pour lui rendre témoignage.

8:7	uzzf				Qu'est-ce que Jésus a dit qu'il ferait lorsque le centurion lui a parlé de son serviteur paralysé ?	Jésus a dit qu'il irait à la maison du centurion et qu'il guérirait le serviteur.

8:8	sg0e				Pourquoi le centurion a-t-il dit que Jésus n'avait pas besoin de venir chez lui ?	Le centurion a dit qu'il n'était pas digne d'avoir Jésus dans sa maison, et que Jésus n'avait qu'à dire un mot et guérir le serviteur.

8:10	lf97				Quel compliment Jésus a-t-il fait au centurion ?	Jésus dit que même en Israël, il n'avait pas trouvé quelqu'un avec autant de foi que le centurion.

8:11	mu6e				Qui, selon Jésus, viendra s'asseoir à table dans le royaume des cieux ?	Jésus a dit que beaucoup viendraient de l'est et de l'ouest et se mettraient à table dans le royaume des cieux.

8:12	xrku				Qui, selon Jésus, sera jeté dans les ténèbres du dehors, où il y a des pleurs et des grincements de dents ?	Jésus a dit que les fils du royaume seraient jetés dans les ténèbres extérieures.

8:14-15	x9m7				Qui Jésus a-t-il guéri lorsqu'il est entré dans la maison de Pierre ?	Jésus a guéri la belle-mère de Pierre lorsqu'il est entré dans la maison de ce dernier.

8:17	bv35				Quelle prophétie d'Ésaïe s'est accomplie lorsque Jésus a guéri tous ceux qui étaient possédés par des démons et malades ?	La prophétie d'Isaïe, "Il a lui-même pris nos maladies et les a portées", s'est accomplie.

8:20	y409				Qu'a dit Jésus sur sa façon de vivre lorsque le scribe lui a demandé de le suivre ?	Jésus a dit qu'il n'avait pas de maison permanente.

8:21-22	oarx				Lorsqu'un disciple a demandé à aller enterrer son père avant de suivre Jésus, qu'a répondu Jésus ?	Jésus a dit au disciple de le suivre, et de laisser les morts enterrer leurs propres morts.

8:24	xuks				Que faisait Jésus dans la barque lorsque la grande tempête s'est levée sur la mer ?	Jésus dormait quand la grande tempête s'est levée sur la mer.

8:26	eu1p				Lorsque les disciples ont réveillé Jésus parce qu'ils avaient peur de mourir, que leur a dit Jésus ?	Jésus dit aux disciples : "Pourquoi avez-vous peur, vous qui êtes de peu de foi" ?

8:27	bn5m				Pourquoi les disciples s'émerveillaient-ils devant Jésus après le calme ?	Les disciples s'émerveillent devant Jésus parce que les vents et la mer lui obéissent.

8:28	mfbz				Quel genre d'hommes a rencontré Jésus lorsqu'il est arrivé dans le pays des Gadaréniens ?	Jésus a rencontré deux hommes possédés par des démons qui étaient très violents.

8:29	reg0				Quelle était la préoccupation des démons qui parlaient à Jésus par l'intermédiaire des hommes ?	Les démons étaient inquiets de voir que Jésus était venu les tourmenter avant l'heure fixée.

8:32	sbbw				Que s'est-il passé quand Jésus a chassé les démons ?	Lorsque Jésus a chassé les démons, ceux-ci sont entrés dans un troupeau de porcs et les porcs se sont précipités dans la mer et ont péri.

8:34	zbet				Qu'est-ce que les gens ont supplié Jésus de faire lorsqu'ils sont sortis de la ville pour le rencontrer ?	Les gens ont supplié Jésus de quitter leur région.

9:3-5	h9jo				Pourquoi certains scribes ont-ils pensé que Jésus blasphémait Dieu ?	Certains scribes pensaient que Jésus blasphémait Dieu parce qu'il avait dit à l'homme paralysé que ses péchés étaient pardonnés.

9:5-6	zvj3				Pourquoi Jésus a-t-il dit au paralytique que ses péchés étaient pardonnés, au lieu de lui dire de se lever et de marcher ?	Jésus avait dit au paralytique que ses péchés étaient pardonnés pour démontrer qu'il avait l'autorité sur terre pour pardonner les péchés.

9:8	y0xp				Pourquoi les gens ont-ils loué Dieu lorsqu'ils ont vu les péchés du paralytique pardonnés et son corps guéri ?	Ils étaient stupéfaits et louaient Dieu, qui avait donné une telle autorité aux hommes.

9:9	sno9				Quelle était la profession de Matthieu avant qu'il ne suive Jésus ?	Matthieu était un collecteur d'impôts avant de suivre Jésus.

9:10	uv4o				Avec qui Jésus et ses disciples ont-ils mangé ?	Jésus et ses disciples ont mangé avec des collecteurs d'impôts et des personnes pécheresses.

9:13	cqos				Qui Jésus a-t-il dit être venu appeler à la repentance ?	Jésus a dit qu'il était venu pour appeler les pécheurs à la repentance.

9:15	wjy3				Pourquoi Jésus a-t-il dit que ses disciples ne jeûnaient pas ?	Jésus a dit que ses disciples ne jeûnaient pas parce qu'il était encore avec eux.

9:15	qh9c				Quand Jésus a-t-il dit que ses disciples jeûneraient ?	Jésus a dit que ses disciples jeûneraient quand il leur serait enlevé.

9:20-21	vtmg				Qu'a fait la femme avec une hémorragie grave, et pourquoi ?	La femme qui saignait abondamment a touché le bord du vêtement de Jésus, pensant que si elle touchait seulement son vêtement, elle serait guérie.

9:22	adih				Qu'est-ce qui, selon Jésus, a permis à la femme souffrant d'une hémorragie grave de se rétablir ?	Jésus a dit que la femme qui avait une hémorragie grave avait été guérie par sa foi.

9:24	tsrx				Pourquoi les gens se sont moqués de Jésus lorsqu'il est entré dans la maison du fonctionnaire juif ?	Les gens se sont moqués de Jésus parce qu'il avait dit que la fille n'était pas morte, mais qu'elle dormait.

