1:1	o4pb				Dans la généalogie de Jésus-Christ, quels sont les deux ancêtres cités en premier, ce qui indique leur importance ?	Les deux premiers ancêtres cités sont David et Abraham.
23:15	iwrs				Lorsque les scribes et les pharisiens ont fait un nouveau converti, de qui était-il le fils ?	Quand les scribes et les pharisiens faisaient un nouveau converti, il était deux fois plus fils de l'enfer qu'eux.

23:16-17	yilh				En ce qui concerne le fait d'être lié par des serments, qu'a dit Jésus à propos des enseignements des scribes et des pharisiens ?	Jésus a dit que les scribes et les pharisiens étaient des guides aveugles et des fous aveugles.

23:23	ep2a				Même s'ils avaient prélevé la dîme de la menthe, de l'aneth et du cumin, qu'est-ce que les scribes et les pharisiens avaient omis de faire ?	Les scribes et les pharisiens n'avaient pas fait ce qui était le plus important dans la loi - la justice, la miséricorde et la foi.

23:25-26	atfn				Qu'est-ce que les scribes et les pharisiens n'avaient pas réussi à nettoyer ?	Les scribes et les pharisiens n'avaient pas nettoyé l'intérieur de leur coupe, donc l'extérieur pouvait aussi être propre.

23:28	di7v				De quoi les scribes et les pharisiens étaient-ils pleins à l'intérieur ?	Les scribes et les pharisiens étaient pleins d'hypocrisie et d'anarchie.

23:29-31	max5				Qu'avaient fait les pères des scribes et des pharisiens aux prophètes de Dieu ?	Les pères des scribes et des pharisiens avaient tué les prophètes de Dieu.

23:33	aird				Quel jugement les scribes et les pharisiens allaient-ils subir ?	Les scribes et les pharisiens allaient subir le jugement de l'enfer.

23:34	ltnn				Qu'est-ce que Jésus a dit que les scribes et les pharisiens feraient aux prophètes, aux sages et aux scribes qu'il leur enverrait ?	Jésus a dit qu'ils tueraient et crucifieraient certains, qu'ils en fouetteraient d'autres et qu'ils en poursuivraient certains de ville en ville.

23:35	zix0				En raison de leur comportement, quel sentiment de culpabilité allait s'abattre sur les scribes et les pharisiens ?	La culpabilité de tout le sang juste versé sur la terre retomberait sur les scribes et les pharisiens.

23:36	dwou				A quelle génération Jésus a-t-il dit que toutes ces choses arriveraient ?	Jésus a dit que toutes ces choses arriveraient à cette génération.

23:37	zvar				Quel désir Jésus avait-il pour les enfants de Jérusalem, et pourquoi ne s'est-il pas réalisé ?	Jésus voulait rassembler les enfants de Jérusalem, mais ils ne voulaient pas se mettre d'accord.

23:38	qe8d				Comment la maison de Jérusalem serait-elle maintenant laissée ?	La maison de Jérusalem serait désormais laissée à l'abandon.

24:2	rqog				Qu'est-ce que Jésus a prophétisé concernant le temple de Jérusalem ?	Jésus a prophétisé qu'il ne resterait pas une pierre du temple sur une autre qui ne serait pas démolie.

24:3	pn60				Après avoir entendu la prophétie sur le temple, qu'ont demandé les disciples à Jésus ?	Les disciples demandèrent à Jésus quand ces choses allaient se produire, et quel serait le signe de sa venue et de la fin du monde ?

24:5	gjxz				Quelle est l'action des personnes dont Jésus a dit qu'elles égareraient beaucoup de monde ?	Jésus a dit que beaucoup viendraient en disant qu'ils sont le Christ, égarant beaucoup de gens.

24:6-8	v9o3				Quels sont les événements qui, selon Jésus, marqueront le début des douleurs de la naissance ?	Jésus a dit que les guerres, les famines et les tremblements de terre seraient le début des douleurs de la naissance.

24:9-10	i5dp				Qu'est-ce que Jésus a dit qu'il se produirait parmi les croyants à ce moment-là ?	Jésus a dit que les croyants subiraient des tribulations et seraient haïs par les nations à cause de son nom.

24:13	fsav				Qui, selon Jésus, sera sauvé ?	Jésus a dit que celui qui endure jusqu'à la fin sera sauvé.

24:14	d78h				Que se passera-t-il avec l'évangile avant la fin ?	L'évangile du royaume sera prêché dans le monde entier avant la fin.

24:15-18	bam0				Qu'est-ce que Jésus a dit aux croyants de faire lorsqu'ils verront l'abomination de la désolation se dresser dans le lieu saint ?	Jésus a dit que les croyants devaient fuir dans les montagnes.

24:21	ok6i				Quelle sera l'ampleur de la tribulation en ces jours-là ?	En ces jours-là, la tribulation sera grande, plus grande que toute autre depuis le commencement du monde.

24:24	iosc				Comment les faux Christs et les faux prophètes vont-ils égarer beaucoup de gens ?	Les faux Christs et les faux prophètes feront de grands signes et des prodiges pour égarer les gens.

24:27	oylw				À quoi ressemblera la venue du Fils de l'homme ?	La venue du Fils de l'homme ressemblera à un éclair brillant d'est en ouest.

24:29	eqyv				Qu'arrivera-t-il au soleil, à la lune et aux étoiles après la tribulation de ces jours-là ?	Le soleil et la lune s'obscurciront, et les étoiles tomberont du ciel.

24:30	kqot				Que feront les tribus de la terre lorsqu'elles verront le Fils de l'homme venir en puissance et en grande gloire ?	Les tribus de la terre seront en deuil.

24:31	y4r6				Quel bruit se fera entendre lorsque le Fils de l'homme enverra ses anges pour rassembler les élus ?	Le grand son de la trompette se fera entendre lorsque les anges rassembleront les élus.

24:34	vz5z				Qu'est-ce que Jésus a dit qui ne passerait pas avant que toutes ces choses aient eu lieu ?	Jésus a dit que cette génération ne passera pas avant que toutes ces choses ne se soient produites.

24:35	f996				Qu'est-ce que Jésus a dit qui passerait, et qu'est-ce qui ne passerait jamais ?	Jésus a dit que le ciel et la terre passeront, mais que ses paroles ne passeront jamais.

24:36	qpf2				Qui sait quand ces événements se produiront ?	Seul le Père sait quand ces événements se produiront.

24:37-39	mys9				Comment la venue du Fils de l'homme sera-t-elle semblable à l'époque de Noé avant le déluge ?	Les gens mangeront et boiront, se marieront et donneront en mariage, ne sachant rien du jugement à venir qui les emportera.

24:42	mer1				Quelle attitude Jésus a-t-il dit que ses croyants devaient adopter face à sa venue, et pourquoi ?	Jésus a dit que ses croyants doivent toujours être prêts, car ils ne savent pas quel jour le Seigneur viendra.

24:45-46	ien5				Que fait un serviteur fidèle et sage pendant l'absence de son maître ?	Un serviteur fidèle et avisé s'occupe de la maison de son maître pendant l'absence de ce dernier.

24:47	l3jp				Que fait le maître pour le serviteur fidèle et sage à son retour ?	À son retour, le maître place le serviteur fidèle et sage sur tout ce qu'il possède.

24:48-49	zsw7				Que fait un mauvais serviteur pendant que le maître est absent ?	Un mauvais serviteur bat ses compagnons de service et mange et boit avec les ivrognes pendant l'absence du maître.

24:51	oi2q				Que fait le maître avec le mauvais serviteur quand il revient ?	Quand il revient, le maître coupe en morceaux le mauvais serviteur et l'envoie là où il y a des pleurs et des grincements de dents.

25:3	qwia				Que n'ont pas fait les vierges folles lorsqu'elles sont allées à la rencontre de l'époux ?	Les vierges folles n'ont pas pris d'huile avec leurs lampes.

25:4	d1tc				Que faisaient les vierges sages lorsqu'elles allaient à la rencontre de l'époux ?	Les vierges sages ont pris des récipients d'huile avec leurs lampes.

25:5-6	a6xq				Quand l'époux est-il venu, et était-ce le moment attendu ?	L'époux est arrivé à minuit, ce qui était plus tard que l'heure prévue.

25:10	zyqf				Qu'est-il arrivé aux vierges sages quand l'époux est arrivé ?	Les vierges sages ont accompagné l'époux au festin des noces.

25:10-12	bol5				Qu'est-il arrivé aux vierges folles quand l'époux est arrivé ?	Les vierges folles devaient aller acheter de l'huile et, à leur retour, la porte du festin leur était fermée.

25:13	q8i0				Qu'est-ce que Jésus a dit qu'il voulait que les croyants apprennent de la parabole des vierges ?	Jésus dit que les croyants doivent veiller, car ils ne connaissent ni le jour ni l'heure.

25:16	z8rc				Qu'ont fait les serviteurs aux cinq et deux talents avec leurs talents lorsque leur maître est parti en voyage ?	Le serviteur qui avait cinq talents en a fait cinq autres, et celui qui avait deux talents en a fait deux autres.

25:18	m2j8				Qu'a fait le serviteur d'un talent lorsque son maître est parti en voyage ?	Le serviteur qui avait un talent a creusé un trou dans le sol et a caché l'argent de son maître.

25:19	hfww				Combien de temps le maître est-il parti en voyage ?	Le maître a été absent pendant un long moment.

25:20-21	ikbp				À son retour, que fit le maître pour les serviteurs qui avaient reçu cinq et deux talents ?	Le maître a dit : "Bravo, bon et fidèle serviteur !" et leur a confié de nombreuses responsabilités.

25:26	o2vg				À son retour, qu'a fait le maître au serviteur qui avait reçu un talent ?	Le maître dit : "Serviteur méchant et paresseux", lui enleva le talent et le jeta dans les ténèbres extérieures.

25:31-32	sd2y				Que fera le Fils de l'homme quand il viendra s'asseoir sur son trône glorieux ?	Le Fils de l'homme rassemblera toutes les nations et séparera les peuples les uns des autres.

25:34	wqx8				Que recevront ceux qui sont à la droite du Roi ?	Ceux qui sont à la droite du Roi reçoivent le royaume préparé pour eux dès la fondation du monde.

25:35-36	k3gd				Qu'ont fait ceux qui étaient à la droite du Roi dans leur vie ?	Ceux qui étaient à la droite du roi donnaient à manger aux affamés, à boire aux assoiffés, accueillaient les étrangers, habillaient ceux qui étaient nus, soignaient les malades et visitaient les prisonniers.

25:41	e7j3				Que recevront ceux qui sont à la gauche du Roi ?	Ceux qui sont à la gauche du Roi reçoivent le feu éternel préparé pour le diable et ses anges.

25:42-43	igr1				Qu'est-ce que ceux qui étaient à la gauche du roi n'ont pas fait dans leur vie ?	Ceux qui étaient à la gauche du roi ne donnaient pas à manger aux affamés, ne buvaient pas aux assoiffés, n'accueillaient pas les étrangers, ne vêtaient pas ceux qui étaient nus, ne soignaient pas les malades et ne visitaient pas les prisonniers.

26:2	rcj7				Quelle est la fête juive dont Jésus a dit qu'elle arrivait dans deux jours ?	Jésus a dit que la Pâque venait dans deux jours.

26:4	bs56				Que complotaient les chefs des prêtres et les anciens au palais du grand prêtre ?	Ils complotaient pour arrêter Jésus à la dérobée et le tuer.

26:5	ndn4				De quoi les chefs des prêtres et les anciens avaient-ils peur ?	Ils avaient peur que s'ils tuaient Jésus pendant la fête, le peuple fasse une émeute.

26:6-9	qqpo				Quelle a été la réaction des disciples lorsque la femme a versé le parfum coûteux sur la tête de Jésus ?	Les disciples étaient en colère et voulaient savoir pourquoi le parfum n'avait pas été vendu et l'argent donné aux pauvres.

26:12	wx7n				Pourquoi Jésus a-t-il dit que la femme avait versé l'onguent sur lui ?	Jésus dit que la femme avait versé le parfum sur lui pour son enterrement.

26:14-15	ociq				Combien Judas Iscariote a-t-il été payé pour livrer Jésus aux mains des chefs des prêtres ?	Judas a été payé 30 pièces d'argent pour livrer Jésus aux mains des grands prêtres.

26:21	iqeb				Qu'a dit Jésus au repas du soir à propos d'un de ses disciples ?	Jésus a dit que l'un de ses disciples le trahirait.

26:24	v2v0				Qu'a dit Jésus sur l'avenir de celui qui le trahirait ?	Jésus a dit qu'il vaudrait mieux pour l'homme qui le trahit qu'il ne soit jamais né.

26:25	mnj8				Comment Jésus a-t-il répondu lorsque Judas lui a demandé s'il était celui qui allait trahir Jésus ?	Jésus répondit : "Tu l'as dit toi-même".

26:26	fiwp				Qu'a dit Jésus lorsqu'il a pris le pain, l'a béni, l'a rompu et l'a donné aux disciples ?	Jésus a dit : "Prenez, mangez. Ceci est mon corps".

26:28	scws				Qu'a dit Jésus à propos de la coupe qu'il a ensuite donnée aux disciples ?	Jésus a dit que la coupe était son sang de l'alliance qui est versé pour beaucoup pour le pardon des péchés.

26:30-31	io6g				Au Mont des Oliviers, qu'est-ce que Jésus a dit à ses disciples qu'ils feraient tous cette nuit-là ?	Jésus a dit à ses disciples qu'ils allaient tous trébucher cette nuit-là à cause de lui.

26:33-34	zbyx				Lorsque Pierre a dit qu'il ne trébucherait jamais, qu'est-ce que Jésus lui a dit qu'il ferait cette nuit-là ?	Jésus a dit que Pierre renierait Jésus trois fois cette nuit-là avant le chant du coq.

26:37-38	fnyq				Qu'est-ce que Jésus a demandé à Pierre et aux deux fils de Zébédée de faire pendant qu'il priait ?	Jésus leur demande de rester là et de veiller avec lui.

26:39	p5zy				Quelle demande Jésus a-t-il faite au Père dans sa prière ?	Jésus a demandé, si c'était possible, que cette coupe passe loin de lui.

26:40	ezku				Que faisaient les disciples lorsque Jésus est revenu de sa prière ?	Les disciples dormaient lorsque Jésus est revenu de sa prière.

26:42	cr3a				Qu'est-ce que Jésus a prié de faire, quelle que soit sa propre volonté ?	Jésus a prié pour que la volonté du Père soit faite, quelle que soit sa propre volonté.

26:42-44	mygy				Combien de fois Jésus a-t-il laissé les disciples pour aller prier ?	Jésus a quitté les disciples à trois reprises pour aller prier.

26:47-48	nb6b				Quel signe Judas a-t-il donné à la foule pour identifier Jésus comme celui qu'il faut saisir ?	Judas a embrassé Jésus pour indiquer à la foule que c'était lui qu'il fallait saisir.

26:51	temo				Que fit l'un des disciples de Jésus lorsque celui-ci fut saisi ?	Un des disciples de Jésus a tiré son épée et a coupé l'oreille du serviteur du grand prêtre.

26:53	u0ox				Qu'est-ce que Jésus a dit qu'il pouvait faire s'il voulait se défendre ?	Jésus a dit qu'il pouvait invoquer le Père, qui enverrait 12 légions d'anges.

26:54	wzyi				Qu'est-ce que Jésus a déclaré être accompli par ces événements ?	Jésus a dit que les Écritures s'accomplissaient par ces événements.

26:56	vdj0				Que firent alors tous les disciples ?	Tous les disciples l'ont alors quitté et se sont enfuis.

26:59	y7s8				Que cherchaient les chefs des prêtres et tout le Conseil pour mettre Jésus à mort ?	Ils cherchaient un faux témoignage contre Jésus afin de le mettre à mort.

26:63	trpl				Quel ordre le grand prêtre a-t-il donné à Jésus par le Dieu vivant ?	Le grand prêtre a ordonné à Jésus de leur dire s'il était ou non le Christ, le Fils de Dieu.

26:64	c97z				Quelle a été la réponse de Jésus à l'ordre du grand prêtre ?	Jésus a dit : "Tu l'as dit toi-même".

26:64	nzm0				Qu'est-ce que Jésus a dit que le grand prêtre verrait ?	Jésus a dit que le grand prêtre verrait le Fils de l'homme assis à la droite de la puissance, et venant sur les nuées du ciel.

26:65	x6hi				Quelle accusation le grand prêtre a-t-il alors portée contre Jésus ?	Le grand prêtre a accusé Jésus de blasphème.

26:67	qv9z				Qu'ont-ils fait à Jésus après l'avoir accusé ?	Ils ont craché au visage de Jésus, l'ont battu et l'ont frappé avec les paumes de leurs mains.

26:74	vrpx				Que s'est-il passé dès que Pierre a répondu pour la troisième fois ?	Dès que Pierre a répondu pour la troisième fois, un coq a chanté.

26:73-75	kbyv				Qu'a répondu Pierre les trois fois où quelqu'un lui a demandé s'il était avec Jésus ?	Pierre répondit qu'il ne connaissait pas Jésus.

26:75	meef				De quoi Pierre s'est-il souvenu après sa troisième réponse ?	Pierre se souvient que Jésus avait dit qu'avant que le coq chante, il renierait Jésus trois fois.

27:2	rr77				Le matin, où les chefs des prêtres et les anciens ont-ils emmené Jésus ?	Au matin, ils l'emmenèrent chez Pilate, le gouverneur.

27:3-5	hgx8				Qu'a fait Judas Iscariot quand il a vu que Jésus était condamné ?	Judas s'est repenti d'avoir trahi le sang innocent, a rendu l'argent, est sorti et s'est pendu.

27:6-7	yffx				Qu'ont fait les chefs des prêtres avec les 30 pièces d'argent ?	Ils ont acheté le champ du potier, dans lequel ils enterrent les étrangers.

27:9-10	ugxj				La prophétie de qui ces événements ont-ils été accomplis ?	Ces événements ont accompli la prophétie de Jérémie.

27:11	uasg				Quelle question Pilate a-t-il posée à Jésus, et quelle a été la réponse de Jésus ?	Pilate a demandé à Jésus s'il était le roi des Juifs, et Jésus a répondu : "Tu le dis".

27:12-14	a2bg				Qu'a répondu Jésus à toutes les accusations des chefs des prêtres et des anciens ?	Jésus n'a pas répondu, pas même un mot.

27:15-16	azps				Que voulait faire Pilate pour Jésus, selon la coutume de la fête de la Pâque ?	Pilate souhaite que Jésus soit libéré, selon la coutume de la fête.

27:19	l0vn				Quel message la femme de Pilate lui a-t-elle envoyé alors qu'il était assis sur le siège du jugement ?	Elle a dit à Pilate de ne pas s'occuper de cet homme innocent.

27:20	zoxh				Pourquoi Barabbas, et non Jésus, a-t-il été libéré selon la coutume de la fête ?	Les chefs des prêtres et les anciens ont persuadé la foule de demander que Barabbas soit libéré à la place de Jésus.

27:22	obno				Qu'est-ce que la foule a crié qu'elle voulait qu'on fasse de Jésus ?	La foule a crié qu'elle voulait que Jésus soit crucifié.

27:24	obt8				Quand Pilate a vu qu'une émeute commençait, qu'a-t-il fait ?	Pilate s'est lavé les mains, a déclaré qu'il était innocent du sang de cet homme innocent, et a livré Jésus à la foule.

27:25	ozx5				Qu'ont dit les gens quand Pilate leur a remis Jésus ?	Le peuple a dit : "Que son sang retombe sur nous et nos enfants".

27:27-29	dimj				Qu'est-ce que les soldats du gouverneur ont mis sur Jésus ?	Les soldats lui ont mis une robe écarlate et une couronne d'épines sur la tête.

27:32	mrhn				Qu'est-ce que Simon de Cyrène a été forcé de faire ?	Simon a été forcé de porter la croix de Jésus.

27:33	adh8				Où sont-ils allés pour crucifier Jésus ?	Ils sont allés au Golgotha, qui signifie "le lieu du crâne".

27:35-36	cxpy				Qu'ont fait les soldats après avoir crucifié Jésus ?	Les soldats ont tiré au sort les vêtements de Jésus, puis se sont assis et l'ont regardé.

27:37	sel1				Quelle écriture ont-ils mis au-dessus de la tête de Jésus ?	Ils ont écrit : "C'EST JESUS, LE ROI DES JUIFS".

27:38	b5v0				Qui a été crucifié avec Jésus ?	Deux brigands ont été crucifiés avec Jésus, l'un à sa droite et l'autre à sa gauche.

27:42	e4q8				Qu'est-ce que les gens, les chefs des prêtres, les scribes et les anciens ont demandé à Jésus de faire ?	Ils ont tous mis Jésus au défi de se sauver et de descendre de la croix.

27:45	rf30				Que s'est-il passé de la sixième à la neuvième heure ?	Les ténèbres se sont abattues sur tout le pays de la sixième à la neuvième heure.

27:46	oka9				Qu'a crié Jésus à la neuvième heure ?	Jésus s'est écrié : "Mon Dieu, mon Dieu, pourquoi m'as-tu abandonné ?"

27:50	atpk				Que s'est-il passé après que Jésus ait crié à nouveau d'une voix forte ?	Jésus a renoncé à son esprit.

27:51	gmdd				Que s'est-il passé dans le temple après la mort de Jésus ?	Le rideau du temple a été fendu en deux, de haut en bas, après la mort de Jésus.

27:52-53	jhj3				Que s'est-il passé dans les tombes après la mort de Jésus ?	De nombreux saints qui s'étaient endormis sont ressuscités et sont apparus à beaucoup après la mort de Jésus.

27:54	z0f7				En voyant tous ces événements, quel était le témoignage du centurion ?	Le centurion a témoigné : "Vraiment, c'était le Fils de Dieu".

27:57-58	zq32				Après sa crucifixion, qu'est-il arrivé au corps de Jésus ?	Un riche disciple de Jésus, Joseph, demanda à Pilate le corps, l'enveloppa dans du lin et le déposa dans son propre tombeau neuf.

27:60	of4g				Qu'est-ce qui a été placé en travers de la porte du tombeau où le corps de Jésus a été déposé ?	Une grande pierre a été placée en travers de la porte du tombeau où le corps de Jésus a été déposé.

27:62-64	t30z				Pourquoi les chefs des prêtres et les pharisiens se sont-ils réunis avec Pilate le lendemain ?	Les chefs des prêtres et les pharisiens voulaient s'assurer que le tombeau de Jésus était sécurisé afin que personne ne puisse voler le corps.

27:65-66	xgja				Qu'est-ce que Pilate leur a permis de faire au tombeau ?	Pilate leur a permis de sceller la pierre et de placer une garde au tombeau.

28:1	wirt				Quel jour et à quelle heure Marie-Madeleine et l'autre Marie se sont-elles rendues au tombeau de Jésus ?	Comme l'aube commençait à poindre vers le premier jour de la semaine, ils se rendirent au tombeau de Jésus.

28:2	c0pn				Comment la pierre a-t-elle été roulée du tombeau de Jésus ?	Un ange du Seigneur descendit et roula la pierre.

28:4	rhvi				Qu'ont fait les gardes quand ils ont vu l'ange ?	Les gardes ont tremblé de peur et sont devenus comme des hommes morts en voyant l'ange.

28:5-7	lbcd				Qu'a dit l'ange aux deux femmes au sujet de Jésus ?	L'ange a dit que Jésus était ressuscité et qu'il les précédait en Galilée.

28:8-9	f58g				Qu'est-il arrivé aux deux femmes qui allaient prévenir les disciples ?	Les femmes ont rencontré Jésus, elles se sont saisies de ses pieds et l'ont adoré.

28:11-13	p7ks				Quand les gardes ont dit aux chefs des prêtres ce qui s'était passé au tombeau, qu'ont fait les chefs des prêtres ?	Les chefs des prêtres ont payé les soldats une grosse somme d'argent et leur ont dit de dire que les disciples de Jésus avaient volé le corps.

28:17	eo11				Qu'ont fait les disciples lorsqu'ils ont vu Jésus en Galilée ?	Les disciples adorent Jésus, mais certains doutent.

28:18	sokd				Quelle autorité Jésus a-t-il dit lui avoir été donnée ?	Jésus a dit que toute autorité dans le ciel et sur la terre lui avait été donnée.

28:19	lf4q				Qu'est-ce que Jésus a ordonné à ses disciples de faire ?	Jésus a ordonné à ses disciples d'aller faire des disciples, et de les baptiser.

28:19	mgj3				En quel nom Jésus a-t-il dit à ses disciples de baptiser ?	Jésus a dit à ses disciples de baptiser au nom du Père, du Fils et du Saint-Esprit.

28:20	yqc0				Qu'est-ce que Jésus a ordonné à ses disciples d'enseigner ?	Jésus a ordonné à ses disciples d'enseigner aux nations à obéir à toutes les choses qu'il avait commandées.

28:20	eson				Quelle promesse finale Jésus a-t-il faite à ses disciples ?	Jésus a promis d'être avec eux, même jusqu'à la fin des temps.
