1:1-2	v2r2				Par quel moyen Dieu avait-il promis l'évangile avant l'époque de Paul ?	Dieu avait promis l'évangile auparavant par ses prophètes dans les saintes écritures.

1:3	bgxw				Le Fils de Dieu est né de quelle descendance selon la chair ?	Le Fils de Dieu est né de la descendance de David selon la chair.

1:4	wcya				Par quel événement Jésus-Christ a-t-il été déclaré Fils de Dieu ?	Jésus-Christ a été déclaré Fils de Dieu par la résurrection des morts.

1:5	ojj9				Dans quel but Paul a-t-il reçu la grâce et l'apostolat du Christ ?	Paul a reçu la grâce et l'apostolat pour l'obéissance de la foi parmi toutes les nations.

1:8	tl8v				Pourquoi Paul remercie-t-il Dieu pour les croyants de Rome ?	Paul remercie Dieu parce que leur foi est proclamée dans le monde entier.

1:11	kccq				Pourquoi Paul désire-t-il voir les croyants de Rome ?	Paul désire les voir pour leur donner quelque don spirituel afin de les établir.

1:13	m3aj				Pourquoi Paul n'avait-il pas pu rendre visite aux croyants de Rome jusqu'à présent ?	Jusqu'à présent, Paul n'avait pas pu lui rendre visite car il était gêné.

1:16	brj1				Que dit Paul de l'évangile ?	Paul dit que l'Évangile est la puissance de Dieu pour le salut de quiconque croit.

1:17	qpkd				Quel texte biblique Paul cite-t-il concernant la façon dont les justes vivront ?	Paul cite l'Écriture : "Le juste vivra par la foi".

1:18-19	smxu				Que font les impies et les injustes alors que ce qui est connu de Dieu leur est visible ?	Les impies et les injustes retiennent la vérité, même si ce qui est connu de Dieu leur est visible.

1:20	m0f7				Comment les choses invisibles de Dieu sont-elles clairement visibles ?	Les choses invisibles de Dieu sont clairement visibles à travers les choses créées.

1:20	ugju				Quelles caractéristiques de Dieu sont clairement visibles ?	La puissance éternelle et la nature divine de Dieu sont clairement visibles.

1:21	r8i9				Qu'arrive-t-il aux pensées et aux cœurs de ceux qui ne glorifient pas Dieu et ne lui rendent pas grâce ?	Ceux qui ne glorifient pas Dieu et ne lui rendent pas grâce deviennent fous dans leurs pensées et leur cœur s'obscurcit.

1:24	c9c3				Que fait Dieu à ceux qui échangent sa gloire contre les images d'hommes et d'animaux périssables ?	Dieu les livre aux convoitises de leur cœur pour les rendre impurs, pour que leur corps soit déshonoré entre eux.

1:26-27	f9b7				Pour quelles passions déshonorantes ces femmes et ces hommes brûlent-ils dans leur convoitise ?	Les femmes brûlent de désir pour l'autre, et les hommes brûlent de désir pour l'autre.

1:28	ox10				Que fait Dieu à ceux qui n'approuvent pas de l'avoir dans leur conscience ?	Dieu les livre à un esprit dépravé, pour faire ces choses qui ne sont pas appropriées.

1:29	y57z				Quelles sont certaines des caractéristiques de ceux qui ont un esprit dépravé ?	Ceux qui ont un esprit dépravé sont pleins d'envie, de meurtres, de querelles, de tromperies et de mauvaises intentions.

1:32	yjx3				Que comprennent ceux qui ont un esprit dépravé des exigences de Dieu ?	Ceux qui ont un esprit dépravé comprennent que ceux qui pratiquent de telles choses sont dignes de la mort.

1:32	ydsb				Même si ceux qui ont un esprit dépravé comprennent les exigences de Dieu, que font-ils de toute façon ?	Ils font quand même des choses injustes, et approuvent ceux qui les pratiquent.

2:1	a6ix				Pourquoi certaines personnes sont-elles sans excuse dans leur jugement ?	Certaines personnes sont sans excuse dans leurs jugements, car ce qu'elles jugent chez les autres, elles le pratiquent elles-mêmes.

2:2	qwm1				Comment Dieu juge-t-il lorsqu'il juge ceux qui pratiquent l'iniquité ?	Dieu juge selon la vérité lorsqu'il juge ceux qui pratiquent l'injustice.

2:4	crpo				Quel est le but de la patience et de la bonté de Dieu ?	La patience et la bonté de Dieu ont pour but d'amener une personne à se repentir.

2:5	ot67				Qu'est-ce que ceux qui ont un cœur dur et impénitent envers Dieu se réservent ?	Ceux qui ont un cœur dur et impénitent se réservent la colère pour le jour du juste jugement de Dieu.

2:7	go2l				Que reçoivent ceux qui ont fait des actions cohérentes et bonnes ?	Ceux qui ont accompli des actions cohérentes et bonnes recevront la vie éternelle.

2:8-9	cvrb				Que reçoivent ceux qui obéissent à l'injustice ?	Ceux qui obéissent à l'injustice reçoivent la colère, la fureur, la tribulation et la détresse.

2:12	czsu				Comment Dieu ne montre-t-il pas de partialité dans son jugement entre le Juif et le Grec ?	Dieu ne montre aucune partialité car ceux qui pèchent, qu'ils soient juifs ou grecs, périront.

2:13	yca7				Qui est justifié devant Dieu ?	Les pratiquants de la loi sont justifiés devant Dieu.

2:14	auhm				Comment les païens montrent-ils qu'ils ont une loi pour eux ?	Les païens montrent qu'ils ont une loi pour eux-mêmes quand ils font par nature les choses de la Loi.

2:21	nice				Quel défi Paul lance-t-il aux Juifs qui se reposent sur la Loi et l'enseignent aux autres ?	Paul les met au défi que s'ils enseignent la Loi aux autres, ils doivent aussi s'enseigner eux-mêmes.

2:21-22	l1vi				Quels péchés Paul mentionne-t-il que les enseignants juifs de la loi devraient cesser de faire ?	Paul mentionne les péchés du vol, de l'adultère et du pillage des temples.

2:23-24	nwj5				Pourquoi le nom de Dieu est-il déshonoré parmi les païens à cause des enseignants juifs de la loi ?	Le nom de Dieu est déshonoré parce que les enseignants juifs de la loi transgressent la loi.

2:25	jtc8				Comment Paul dit-il que la circoncision d'une personne juive peut devenir une incirconcision ?	Paul dit que la circoncision d'une personne juive peut devenir incirconcision si cette personne viole la loi.

2:26	i1qt				Comment Paul dit-il que l'incirconcision d'un païen peut être considérée comme une circoncision ?	Paul dit que l'incirconcision d'un païen peut être considérée comme une circoncision si cette personne respecte les exigences de la loi.

2:28-29	d4hs				Qui, selon Paul, est un vrai Juif ?	Paul dit qu'un vrai juif est un juif intérieurement, avec une circoncision du cœur.

2:29	yig8				De qui un vrai juif reçoit-il des louanges ?	Un vrai juif reçoit les louanges de Dieu.

3:1-2	tz4b				Quel est le premier des avantages du Juif ?	Tout d'abord, parmi les avantages du Juif, il y a le fait qu'on lui a confié la révélation de Dieu.

3:4	lt9g				Bien que tout homme soit un menteur, que trouve-t-on à Dieu ?	Bien que tout homme soit un menteur, Dieu se révèle être vrai.

3:5-6	h2zh				Parce que Dieu est juste, qu'est-il capable de faire ?	Parce que Dieu est juste, il est capable de juger le monde.

3:8	zlq7				Qu'arrive-t-il à ceux qui disent : "Faisons le mal, afin que le bien vienne" ?	Le jugement vient sur ceux qui disent : "Faisons le mal, afin que le bien vienne".

3:9-10	qzgo				Qu'est-il écrit dans les Écritures au sujet de la justice de tous, Juifs et Grecs ?	Il est écrit qu'il n'y a pas de juste, pas un seul.

3:11	zsw1				Selon ce qui est écrit, qui comprend et cherche Dieu ?	Selon ce qui est écrit, personne ne comprend et personne ne cherche Dieu.

3:20	ka9s				Qui sera justifié par les œuvres de la loi ?	Aucune chair ne sera justifiée par les œuvres de la loi.

3:20	o51b				Que vient faire la loi ?	La connaissance du péché passe par la loi.

3:21	vv6q				Par quels témoins une justice sans loi est-elle maintenant connue ?	Par les témoins de la Loi et des Prophètes, une justice sans Loi est maintenant connue.

3:22	ac1f				Quelle est la justice sans la Loi qui est maintenant connue ?	La justice sans la loi est la justice de Dieu par la foi en Jésus-Christ pour tous ceux qui croient.

3:24	moo6				Comment une personne est-elle justifiée devant Dieu ?	Une personne est justifiée devant Dieu gratuitement par sa grâce, grâce à la rédemption qui est en Jésus-Christ.

3:25	ioe3				Dans quel but Dieu a-t-il fourni le Christ Jésus ?	Dieu a fourni le Christ Jésus comme propitiation par la foi en son sang.

3:26	de32				Qu'est-ce que Dieu a montré par tout ce qui est arrivé par Jésus-Christ ?	Dieu a montré que c'est lui qui justifie toute personne en raison de sa foi en Jésus.

3:28	rwo3				Quel rôle les œuvres de la loi jouent-elles dans la justification ?	Une personne est justifiée par la foi sans les œuvres de la loi.

3:30	r6hj				Comment Dieu justifie-t-il le Juif circoncis et le Gentil non circoncis ?	Dieu justifie les deux par la foi.

3:31	zdbg				Que faisons-nous de la Loi par la foi ?	Nous respectons la loi par la foi.

4:2	c4xs				Qu'est-ce qui aurait donné à Abraham une raison de se vanter ?	Abraham aurait eu des raisons de se vanter s'il avait été justifié par les œuvres.

4:3	zore				Que disent les Écritures sur la façon dont Abraham a été justifié ?	Les Écritures disent qu'Abraham a cru en Dieu et que cela lui a été compté comme une justice.

4:5	gfjh				Quel genre de personnes Dieu justifie-t-il ?	Dieu justifie les impies.

4:6-8	uy7z				Selon David, de quelle manière un homme est-il béni par Dieu ?	Selon David, est béni l'homme dont les péchés sont pardonnés et qui n'est pas compté par le Seigneur.

4:9-10	tdfk				La foi d'Abraham a-t-elle été comptée comme justice avant ou après sa circoncision ?	La foi d'Abraham a été comptée comme justice avant qu'il ne soit circoncis.

4:11-12	shkf				Abraham est le père de quels groupes de personnes ?	Abraham est le père de tous ceux qui croient, qu'ils soient incirconcis ou circoncis.

4:13	dgvz				Quelle promesse a été donnée à Abraham et à ses descendants par la justice de la foi ?	Il a été promis à Abraham et à ses descendants qu'ils seraient les héritiers du monde.

4:14	d8ey				Qu'est-ce qui serait vrai si la promesse faite à Abraham était passée par la loi ?	Si la promesse était venue par la loi, alors la foi serait vide et la promesse non vraie.

4:16	yeam				Pour quelles raisons la promesse est-elle donnée par la foi ?	La promesse est donnée par la foi pour qu'elle soit par grâce, et pour qu'elle soit sûre.

4:17	eyf8				Quelles sont les deux choses que Paul dit que Dieu fait ?	Paul dit que Dieu donne la vie aux morts et appelle à l'existence des choses qui n'existent pas.

4:18	ok8a				Comment Abraham a-t-il répondu à la promesse de Dieu, malgré ces circonstances extérieures ?	Abraham a fait confiance à Dieu avec confiance et n'a pas hésité dans l'incrédulité.

4:18-19	x409				Quelles circonstances extérieures ont rendu difficile pour Abraham de croire à la promesse de Dieu qu'il serait le père de nombreuses nations ?	Lorsque Dieu a fait la promesse à Abraham, celui-ci était âgé d'une centaine d'années et l'utérus de Sarah était mort.

4:20	uf6v				Comment Abraham a-t-il répondu à la promesse de Dieu, malgré ces circonstances extérieures ?	Abraham a fait confiance à Dieu avec confiance et n'a pas hésité dans l'incrédulité.

4:23-24	va1q				Pour qui le récit d'Abraham a-t-il été écrit ?	Le récit d'Abraham a été écrit pour son bénéfice, et pour notre bénéfice.

4:25	eded				Que croyons-nous que Dieu a fait pour nous ?	Nous croyons que Dieu a ressuscité Jésus des morts, qui a été livré pour nos péchés et ressuscité pour notre justification.

5:1	nkg7				Qu'est-ce que les croyants ont parce qu'ils sont justifiés par la foi ?	Parce qu'ils sont justifiés par la foi, les croyants ont la paix avec Dieu par le Seigneur Jésus-Christ.

5:3-4	tlb6				Quelles sont les trois choses que la souffrance produit ?	La souffrance produit l'endurance, l'approbation et la confiance.

5:8	kvoh				Comment Dieu prouve-t-il son amour envers nous ?	Dieu prouve son amour envers nous, car alors que nous étions encore pécheurs, le Christ est mort pour nous.

5:9	yg2m				Étant justifiés par le sang du Christ, de quoi les croyants sont-ils sauvés ?	Étant justifiés par le sang du Christ, les croyants sont sauvés de la colère de Dieu.

5:10	s0gq				Quelle relation les non-croyants ont-ils avec Dieu avant d'être réconciliés avec lui par Jésus ?	Les non-croyants sont des ennemis de Dieu avant d'être réconciliés avec Dieu par Jésus.

5:12	bapw				Que s'est-il passé à cause du péché d'un seul homme ?	À cause du péché d'un seul homme, le péché est entré dans le monde, la mort est entrée par le péché et la mort s'est propagée à tous les hommes.

5:14	t15j				Qui était le seul homme par lequel le péché est entré dans le monde ?	Adam est l'homme par lequel le péché est entré dans le monde.

5:15	ih3r				En quoi le don gratuit de Dieu est-il différent des péchés d'Adam ?	Par le péché d'Adam, beaucoup sont morts, mais par le don gratuit de Dieu, beaucoup ont abondé.

5:16	x9dz				Qu'est-ce qui a résulté du péché d'Adam, et qu'est-ce qui a résulté du don gratuit de Dieu ?	Le jugement de condamnation résulte du péché d'Adam, mais la justification résulte du don gratuit de Dieu.

5:17	pg7v				Qu'est-ce qui a régi le péché d'Adam, et qu'est-ce qui a régi le don de la justice de Dieu ?	La mort a régné à partir du péché d'Adam, et ceux qui reçoivent le don de Dieu règnent par la vie de Jésus-Christ.

5:19	hf3o				Qu'est-ce que beaucoup ont fait par la désobéissance d'Adam, et qu'est-ce que beaucoup seront faits par l'obéissance du Christ ?	Beaucoup ont été rendus pécheurs par la désobéissance d'Adam, et beaucoup seront rendus justes par l'obéissance du Christ.

5:20	xtxt				Pourquoi la Loi est-elle venue à côté ?	La Loi est venue s'ajouter pour que l'offense puisse abonder.

5:20	ptbv				Qu'est-ce qui a abondé plus que l'infraction ?	La grâce de Dieu a surabondé plus que la faute.

6:1-2	suqv				Les croyants doivent-ils continuer à pécher pour que la grâce de Dieu puisse abonder ?	Que cela ne soit jamais.

6:3	gpbh				Dans quoi ont été baptisés les gens qui ont été baptisés en Jésus-Christ ?	Les personnes baptisées en Jésus-Christ ont été baptisées dans la mort du Christ.

6:4	j4u7				Que doivent faire les croyants depuis que le Christ est ressuscité des morts ?	Les croyants doivent marcher dans la nouveauté de la vie.

6:5	kx8w				De quelles deux manières les croyants sont-ils unis au Christ par le baptême ?	Les croyants sont unis au Christ dans sa mort et sa résurrection.

6:6	c4o3				Qu'est-ce qui a été fait pour nous afin que nous ne soyons plus esclaves du péché ?	Notre vieil homme a été crucifié avec le Christ, afin que nous ne soyons plus esclaves du péché.

6:9	j52c				Comment savons-nous que la mort ne règne plus sur le Christ ?	Nous savons que la mort ne règne plus sur le Christ parce que le Christ est ressuscité des morts.

6:10	kqm6				Combien de fois le Christ est-il mort au péché, et pour combien de personnes est-il mort ?	Le Christ est mort au péché une fois pour toutes.

6:10-11	rg4p				Comment le croyant doit-il se considérer par rapport au péché ?	Un croyant doit se considérer comme mort au péché.

6:10-11	q75d				Pour qui le croyant vit-il sa vie ?	Un croyant vit sa vie pour Dieu.

6:13	qnh7				A qui le croyant doit-il présenter les membres de son corps, et dans quel but ?	Un croyant doit présenter les membres de son corps à Dieu comme des outils pour la justice.

6:14	k73d				Sous quoi le croyant vit-il, ce qui lui permet de dominer le péché ?	Le croyant vit sous la grâce, qui lui permet de dominer le péché.

6:18-19	oa07				Quel est le résultat final pour une personne qui se fait serviteur de Dieu ?	Le résultat final d'une personne qui se fait serviteur de Dieu est la justice.

6:22	ke18				Les esclaves de Dieu ont leur fruit dans quel but ?	Les esclaves de Dieu ont leur fruit pour la sanctification.

6:23	egef				Quel est le salaire du péché ?	Le salaire du péché, c'est la mort.

6:23	dpsi				Qu'est-ce que le don gratuit de Dieu ?	Le don gratuit de Dieu est la vie éternelle.

7:1	wp4c				Combien de temps la loi contrôle-t-elle une personne ?	La loi contrôle une personne aussi longtemps qu'elle vit.

7:2	cvc0				Combien de temps une femme mariée est-elle liée par la loi du mariage ?	Une femme mariée est liée par la loi du mariage jusqu'à la mort de son mari.

7:3	wzvb				Que peut faire une femme une fois qu'elle est libérée de la loi du mariage ?	Une fois libérée de la loi du mariage, une femme peut épouser un autre homme.

7:4	vo3t				Comment les croyants sont-ils rendus morts à la Loi ?	Les croyants sont rendus morts à la Loi par le corps du Christ.

7:4	eqzl				Ayant été rendus morts à la Loi, que peuvent faire les croyants ?	Ayant été rendus morts à la Loi, les croyants sont capables de s'unir au Christ.

7:7	yx5r				Quelle fonction la loi remplit-elle ?	La loi fait connaître le péché.

7:7	aunj				La loi est-elle un péché ?	Non, la loi n'est pas un péché.

7:8	s9wj				Que fait le péché à travers le commandement de la Loi ?	Le péché, par le biais du commandement de la loi, engendre toutes les convoitises chez une personne.

7:12	m46i				La loi est-elle sainte ?	La Loi est sainte, et le commandement est saint, juste et bon.

7:13	hy1a				Qu'est-ce que Paul dit que le péché lui fait ?	Paul dit que le péché, à travers la Loi, entraîne la mort en lui.

7:16	wd54				Qu'est-ce qui fait que Paul est d'accord avec la Loi pour dire que la Loi est bonne ?	Lorsque Paul fait ce qu'il ne veut pas, alors il est d'accord avec la Loi pour dire que la Loi est bonne.

7:17	cqga				Qui fait les choses que Paul fait, mais ne souhaite pas faire ?	Le péché qui vit en Paul fait les choses qu'il ne veut pas faire.

7:18	iqy5				Qu'est-ce qui vit dans la chair de Paul ?	Aucune bonne chose ne vit dans la chair de Paul.

7:21	cvl3				Quel principe Paul trouve-t-il à l'œuvre en lui ?	Paul trouve en lui le principe qu'il veut faire ce qui est bon, mais le mal est en fait présent en lui.

7:22	ediw				Quelle est l'attitude de l'homme intérieur de Paul vis-à-vis de la loi de Dieu ?	L'homme intérieur de Paul se réjouit de la loi de Dieu.

7:23	ri2c				Quel principe Paul trouve-t-il dans les membres de son corps ?	Paul constate que dans les membres de son corps, le principe du péché le tient captif.

7:25	bebt				Qui délivrera Paul de son corps de mort ?	Paul remercie Dieu par Jésus-Christ pour sa délivrance.

8:2	hu33				Qu'est-ce qui a rendu Paul libre du principe du péché et de la mort ?	Le principe de l'Esprit de vie dans le Christ Jésus a rendu Paul libre du principe du péché et de la mort.

8:3	a3o8				Pourquoi la loi n'a-t-elle pas pu libérer les gens du principe du péché et de la mort ?	La Loi était incapable parce qu'elle était faible par la chair.

8:4-5	vua0				Ceux qui marchent selon l'Esprit font attention à quoi ?	Ceux qui marchent selon l'Esprit prêtent attention aux choses de l'Esprit.

8:7	vccb				Quel est le rapport de la chair à Dieu et à la Loi ?	La chair est hostile à Dieu et ne peut être soumise à la Loi.

8:9	j9wy				De quoi manquent les personnes qui n'appartiennent pas à Dieu ?	Les personnes qui n'appartiennent pas à Dieu n'ont pas l'Esprit du Christ qui vit en elles.

8:11	aq1a				Comment Dieu donne-t-il la vie au corps mortel du croyant ?	Dieu donne la vie au corps mortel du croyant par son Esprit, qui vit dans le croyant.

8:14	p8d2				Comment les fils de Dieu sont-ils amenés à vivre ?	Les fils de Dieu sont conduits par l'Esprit de Dieu.

8:15	r8v2				Comment un croyant est-il inclus dans la famille de Dieu ?	Un croyant est inclus dans la famille de Dieu par adoption.

8:17	b5a5				En tant qu'enfants de Dieu, quel autre avantage les croyants reçoivent-ils dans la famille de Dieu ?	En tant qu'enfants de Dieu, les croyants sont également héritiers de Dieu et cohéritiers du Christ.

8:18-19	zkee				Pourquoi les souffrances du temps présent doivent-elles être endurées par les croyants ?	Les souffrances du temps présent doivent être endurées afin que les croyants puissent être glorifiés avec le Christ lorsque les fils de Dieu seront révélés.

8:21	v7zy				A l'heure actuelle, sous quel type d'esclavage se trouve la création ?	A l'heure actuelle, la création est sous l'esclavage de la décadence.

